seven,일곱
lamp,램프
eighteen,열여덟
TV,텔레비전
brother,형/오빠/남동생
soup,수프
dress,원피스
hello,안녕(만났을 때)
rock,바위
cookie,쿠키
weak,약한
fish,물고기
elephant,코끼리
robot,로봇
four,넷
sorry,미안해
friend,친구
mountain,산
bag,가방
sky,하늘
chalk,분필
week,주
gray,회색
cake,케이크
teacher,선생님
throw,던지다
wash,씻다
green,초록색
family,가족
water,물
small,작은
where,어디
board,칠판
foot,발
hi,안녕
bye,안녕(헤어질 때)
next,다음/옆
eight,여덟
wind,바람
shoes,신발
spring,봄
fall,가을
in,안에
ear,귀
good,좋은
salad,샐러드
slow,느린
coat,코트
hamster,햄스터
up,위로
orange,주황색
on,위에
write,쓰다
whale,고래
you,너
fifteen,열다섯
twenty,스물
jacket,재킷
sister,누나/언니/여동생
close,닫다
finger,손가락
sing,노래하다
dolphin,돌고래
we,우리
blue,파란색
strawberry,딸기
when,언제
they,그들
zoo,동물원
hand,손
cheese,치즈
please,제발/부탁해
fast,빠른
thin,마른
angry,화난
bike,자전거
fly,날다
goodbye,잘 가
hamburger,햄버거
hair,머리카락
dance,춤추다
eleven,열하나
yesterday,어제
who,누구
six,여섯
head,머리
brown,갈색
five,다섯
white,흰색
yellow,노란색
strong,힘센
pencil,연필
toy car,장난감 자동차
pig,돼지
purple,보라색
box,상자
fourteen,열넷
seventeen,열일곱
doll,인형
sun,해
meat,고기
lion,사자
park,공원
walk,걷다
Wednesday,수요일
drink,마시다
moon,달
left,왼쪽
socks,양말
hot,더운
right,오른쪽
pink,분홍색
nineteen,열아홉
name,이름
how,어떻게
shirt,셔츠
mother,어머니
listen,듣다
home,집
grandfather,할아버지
rabbit,토끼
ball,공
star,별
arm,팔
book,책
yes,네
mouse,쥐
under,아래에
playground,운동장
nose,코
Tuesday,화요일
look,보다
ten,열
Monday,월요일
river,강
dad,아빠
twelve,열둘
he,그
ruler,자
watermelon,수박
pizza,피자
zebra,얼룩말
pants,바지
three,셋
glue,풀
jam,잼
afternoon,오후
giraffe,기린
winter,겨울
bear,곰
snow,눈
black,검은색
long,긴
neck,목
computer,컴퓨터
summer,여름
cup,컵
tummy,배
tiger,호랑이
clean,깨끗한
grape,포도
eat,먹다
what,무엇
plate,접시
play,놀다
back,뒤
sit,앉다
snake,뱀
beach,해변
restaurant,식당
catch,잡다
no,아니요
chocolate,초콜릿
baby,아기
owl,부엉이
scissors,가위
dog,개
evening,저녁
father,아버지
balloon,풍선
stand,서다
skirt,치마
eraser,지우개
monkey,원숭이
today,오늘
sea,바다
clock,시계
thirteen,열셋
phone,전화기
horse,말
help,돕다
ride,타다
go,가다
library,도서관
banana,바나나
spoon,숟가락
fat,뚱뚱한
tree,나무
rice,밥/쌀
paper,종이
happy,행복한
new,새로운
student,학생
open,열다
old,오래된
tomorrow,내일
school,학교
duck,오리
hospital,병원
cook,요리하다
shoulder,어깨
turtle,거북이
red,빨간색
desk,책상
sandwich,샌드위치
one,하나
sixteen,열여섯
morning,아침
big,큰
ice cream,아이스크림
puzzle,퍼즐
grass,잔디
draw,그리다
pretty,예쁜
easy,쉬운
bad,나쁜
mouth,입
run,달리다
month,달/월
apple,사과
eye,눈
down,아래로
Saturday,토요일
notebook,공책
sad,슬픈
cute,귀여운
thanks,고마워
read,읽다
classroom,교실
hat,모자
rain,비
why,왜
leg,다리
gold,금색
day,날/하루
crayon,크레용
grandmother,할머니
bread,빵
Friday,금요일
flower,꽃
candy,사탕
mom,엄마
ok,좋아/알았어
tooth,이
market,시장
cow,소
swim,수영하다
deer,사슴
dirty,더러운
boots,부츠
she,그녀
come,오다
blocks,블록
peach,복숭아
juice,주스
night,밤
talk,말하다
I,나
jump,뛰다
front,앞
fox,여우
milk,우유
chair,의자
kangaroo,캥거루
garden,정원
cat,고양이
cold,추운
nine,아홉
gloves,장갑
bird,새
short,짧은
kite,연
uncle,삼촌
tall,키가 큰
two,둘
sleep,자다
egg,달걀
panda,판다
bed,침대
sheep,양
year,해/년
aunt,이모/고모
chicken,닭
climb,오르다
scarf,목도리
Sunday,일요일
Thursday,목요일
frog,개구리
store,가게
cloud,구름
