Korean,국어
bus,버스
ship,배
March,3월
factory,공장
bakery,빵집
ingredient,재료
participate,참가하다
auditorium,강당
build,짓다
solve,풀다
astronaut,우주비행사
theater,극장
volleyball,배구
relieved,안도하는
magician,마술사
recipe,조리법
imagine,상상하다
actress,배우(여)
invite,초대하다
promise,약속하다
hope,바라다
ant,개미
subject,과목
test,시험
post office,우체국
art,미술
textbook,교과서
special,특별한
fresh,신선한
exit,나가다
minus,빼기
bake,굽다
boil,끓이다
arrange,배열하다
mix,섞다
painting,그림 그리기
lawyer,변호사
flavor,맛
weigh,무게를 재다
trust,믿다
nervous,긴장한
visit,방문하다
scientist,과학자
cafeteria,급식실
second,초
brave,용감한
freezing,꽁꽁 언
running,달리기
equal,같은
rectangle,직사각형
toy store,장난감 가게
bored,지루한
hiking,등산
engineer,기술자
wonderful,멋진
judge,판사
earthquake,지진
baker,제빵사
jealous,질투하는
curious,궁금한
admire,감탄하다
uniform,교복
guess,추측하다
famous,유명한
October,10월
cheap,싼
pond,연못
cooking,요리하기
dream,꿈꾸다
baseball,야구
embarrassed,당황한
respect,존중하다
July,7월
harbor,항구
bridge,다리(건축물)
rainy,비오는
farm,농장
tunnel,터널
class,수업
useful,유용한
compare,비교하다
lend,빌려주다
homework,숙제
museum,박물관
attend,참석하다
volcano,화산
ambulance,구급차
excited,신난
farmer,농부
hallway,복도
cycling,자전거타기
writer,작가
cliff,절벽
important,중요한
enter,들어가다
history,역사
valley,계곡
root,뿌리
police officer,경찰관
lake,호수
minute,분
agree,동의하다
doubt,의심하다
rocket,로켓
grandparent,조부모
different,다른
singer,가수
butterfly,나비
driver,운전사
actor,배우(남)
painter,화가
forest,숲
sunny,화창한
swamp,늪
photographer,사진작가
plus,더하기
bank,은행
airport,공항
December,12월
June,6월
music,음악
soccer,축구
forget,잊다
wish,소망하다
planet,행성
coast,해안
popular,인기있는
designer,디자이너
suggest,제안하다
expensive,비싼
create,만들다
station,역
cousin,사촌
windy,바람부는
hour,시간
cloudy,흐린
skating,스케이트타기
tennis,테니스
change,바꾸다
cool,시원한
path,길
count,세다
circle,원
finish,끝내다
city hall,시청
September,9월
bicycle,자전거
truck,트럭
quiet,조용한
snowy,눈오는
o'clock,정각
branch,나뭇가지
golf,골프
proud,자랑스러운
disappointed,실망한
boat,보트
remember,기억하다
discover,발견하다
May,5월
skiing,스키타기
jungle,정글
gym,체육관
motorcycle,오토바이
hockey,하키
August,8월
shy,수줍은
January,1월
protect,보호하다
cave,동굴
decide,결정하다
trail,오솔길
badminton,배드민턴
gardening,정원 가꾸기
leave,떠나다
discuss,의논하다
begin,시작하다
continue,계속하다
April,4월
gymnastics,체조
schedule,시간표
bitter,쓴
boxing,권투
apologize,사과하다
uncomfortable,불편한
number,숫자
humid,습한
difficult,어려운
niece,조카(여)
waterfall,폭포
prepare,준비하다
semester,학기
drawing,그리기
holiday,휴일
surfing,서핑
stranger,낯선 사람
pilot,조종사
swimming,수영
seed,씨앗
subway,지하철
choose,고르다
rude,무례한
February,2월
baking,빵 굽기
organize,정리하다
soldier,군인
collecting,수집하기
triangle,삼각형
square,정사각형
worried,걱정하는
confused,혼란스러운
principal,교장선생님
describe,묘사하다
fire truck,소방차
temple,절
submarine,잠수함
careful,조심스러운
explain,설명하다
kind,친절한
guard,경비원
fry,튀기다
salty,짠
dancing,춤추기
invent,발명하다
warn,경고하다
useless,쓸모없는
sour,신
airplane,비행기
collect,모으다
librarian,사서
desert,사막
wonder,궁금해하다
safe,안전한
camping,캠핑
warm,따뜻한
November,11월
plant,식물
firefighter,소방관
grow,자라다
doctor,의사
polite,예의바른
singing,노래하기
practice,연습하다
disagree,반대하다
noisy,시끄러운
complain,불평하다
train,기차
basketball,농구
English,영어
measure,측정하다
diamond,다이아몬드 모양
comfortable,편안한
encourage,격려하다
taekwondo,태권도
bee,벌
lonely,외로운
meadow,초원
dangerous,위험한
sweet,달콤한
start,시작하다
insect,곤충
athlete,운동선수
cook,요리사
borrow,빌리다
introduce,소개하다
jogging,조깅
nurse,간호사
partner,짝
neighbor,이웃
journalist,기자
vet,수의사
foggy,안개낀
plan,계획하다
tower,탑
classmate,반친구
dentist,치과의사
surprised,놀란
arrive,도착하다
similar,비슷한
return,돌아오다/반납하다
church,교회
island,섬
frozen,냉동된
honest,정직한
locker,사물함
bookstore,서점
scared,무서워하는
leaf,잎
taxi,택시
spicy,매운
repair,고치다
oval,타원
careless,부주의한
math,수학
fishing,낚시
table tennis,탁구
science,과학
nephew,조카(남)
spider,거미
dancer,무용수
