Korean,국어
bus,버스
ship,배
March,3월
factory,공장
bakery,빵집
ingredient,재료
tie,묶다
auditorium,강당
build,짓다
use,사용하다
astronaut,우주비행사
theater,극장
volleyball,배구
relieved,안도하는
magician,마술사
recipe,조리법
buy,사다
actress,배우(여)
invite,초대하다
promise,약속하다
lead,이끌다
ant,개미
subject,과목
test,시험
post office,우체국
art,미술
textbook,교과서
special,특별한
fresh,신선한
exit,나가다
minus,빼기
bake,굽다
boil,끓이다
hold,잡다
mix,섞다
painting,그림 그리기
lawyer,변호사
flavor,맛
love,사랑하다
fill,채우다
nervous,긴장한
visit,방문하다
scientist,과학자
cafeteria,급식실
second,초
brave,용감한
freezing,꽁꽁 언
running,달리기
equal,같은
rectangle,직사각형
toy store,장난감 가게
bored,지루한
hiking,등산
engineer,기술자
wonderful,멋진
judge,판사
earthquake,지진
baker,제빵사
jealous,질투하는
curious,궁금한
cut,자르다
uniform,교복
need,필요하다
famous,유명한
October,10월
cheap,싼
pond,연못
cooking,요리하기
greet,인사하다
baseball,야구
embarrassed,당황한
fix,고치다
July,7월
harbor,항구
bridge,다리(건축물)
rainy,비오는
farm,농장
tunnel,터널
class,수업
useful,유용한
sell,팔다
lend,빌려주다
homework,숙제
museum,박물관
pour,붓다
volcano,화산
ambulance,구급차
excited,신난
farmer,농부
