leave,떠나다
textbook,교과서
visit,방문하다
actress,배우(여)
cook,요리사
prepare,준비하다
cycling,자전거타기
invite,초대하다
gym,체육관
humid,습한
swimming,수영
decide,결정하다
hiking,등산
leaf,잎
airport,공항
rude,무례한
warn,경고하다
number,숫자
basketball,농구
attend,참석하다
skating,스케이트타기
semester,학기
discover,발견하다
rectangle,직사각형
camping,캠핑
baker,제빵사
borrow,빌리다
cloudy,흐린
begin,시작하다
minus,빼기
scientist,과학자
insect,곤충
noisy,시끄러운
different,다른
kind,친절한
uniform,교복
actor,배우(남)
partner,짝
August,8월
nervous,긴장한
equal,같은
embarrassed,당황한
June,6월
lawyer,변호사
principal,교장선생님
earthquake,지진
collecting,수집하기
honest,정직한
dancer,무용수
planet,행성
pilot,조종사
second,초
November,11월
rocket,로켓
gymnastics,체조
boil,끓이다
train,기차
designer,디자이너
path,길
curious,궁금한
doubt,의심하다
island,섬
guard,경비원
brave,용감한
golf,골프
music,음악
change,바꾸다
history,역사
recipe,조리법
o'clock,정각
choose,고르다
measure,측정하다
forest,숲
sour,신
bus,버스
remember,기억하다
safe,안전한
warm,따뜻한
disagree,반대하다
finish,끝내다
return,돌아오다/반납하다
homework,숙제
jungle,정글
airplane,비행기
plant,식물
suggest,제안하다
photographer,사진작가
running,달리기
judge,판사
journalist,기자
singer,가수
fry,튀기다
shy,수줍은
protect,보호하다
librarian,사서
subject,과목
arrive,도착하다
bee,벌
wonder,궁금해하다
hour,시간
bakery,빵집
introduce,소개하다
drawing,그리기
organize,정리하다
nephew,조카(남)
cave,동굴
stranger,낯선 사람
hallway,복도
fresh,신선한
expensive,비싼
plan,계획하다
describe,묘사하다
cousin,사촌
start,시작하다
exit,나가다
quiet,조용한
city hall,시청
tower,탑
fishing,낚시
similar,비슷한
driver,운전사
mix,섞다
cliff,절벽
farm,농장
theater,극장
gardening,정원 가꾸기
rainy,비오는
math,수학
create,만들다
apologize,사과하다
imagine,상상하다
swamp,늪
baking,빵 굽기
frozen,냉동된
bake,굽다
sweet,달콤한
root,뿌리
complain,불평하다
volleyball,배구
bank,은행
submarine,잠수함
sunny,화창한
butterfly,나비
astronaut,우주비행사
proud,자랑스러운
niece,조카(여)
compare,비교하다
invent,발명하다
taekwondo,태권도
table tennis,탁구
