leave,떠나다
textbook,교과서
visit,방문하다
actress,배우(여)
cook,요리사
prepare,준비하다
cycling,자전거타기
invite,초대하다
gym,체육관
humid,습한
swimming,수영
decide,결정하다
hiking,등산
leaf,잎
airport,공항
rude,무례한
warn,경고하다
number,숫자
basketball,농구
attend,참석하다
skating,스케이트타기
semester,학기
discover,발견하다
rectangle,직사각형
camping,캠핑
baker,제빵사
borrow,빌리다
cloudy,흐린
begin,시작하다
minus,빼기
scientist,과학자
insect,곤충
noisy,시끄러운
different,다른
kind,친절한
uniform,교복
actor,배우(남)
partner,짝
August,8월
nervous,긴장한
equal,같은
embarrassed,당황한
June,6월
lawyer,변호사
principal,교장선생님
earthquake,지진
collecting,수집하기
honest,정직한
dancer,무용수
planet,행성
pilot,조종사
second,초
November,11월
rocket,로켓
gymnastics,체조
boil,끓이다
train,기차
designer,디자이너
path,길
curious,궁금한
doubt,의심하다
island,섬
guard,경비원
brave,용감한
golf,골프
music,음악
change,바꾸다
history,역사
recipe,조리법
o'clock,정각
choose,고르다
measure,측정하다
forest,숲
sour,신
bus,버스
remember,기억하다
safe,안전한
warm,따뜻한
disagree,반대하다
finish,끝내다
return,돌아오다/반납하다
homework,숙제
jungle,정글
airplane,비행기
plant,식물
suggest,제안하다
photographer,사진작가
running,달리기
judge,판사
journalist,기자
singer,가수
fry,튀기다
shy,수줍은
protect,보호하다
librarian,사서
subject,과목
arrive,도착하다
bee,벌
wonder,궁금해하다
hour,시간
bakery,빵집
introduce,소개하다
drawing,그리기
organize,정리하다
nephew,조카(남)
cave,동굴
stranger,낯선 사람
hallway,복도
fresh,신선한
expensive,비싼
plan,계획하다
describe,묘사하다
cousin,사촌
start,시작하다
exit,나가다
quiet,조용한
city hall,시청
tower,탑
fishing,낚시
similar,비슷한
driver,운전사
mix,섞다
cliff,절벽
farm,농장
theater,극장
gardening,정원 가꾸기
rainy,비오는
math,수학
create,만들다
apologize,사과하다
imagine,상상하다
swamp,늪
baking,빵 굽기
frozen,냉동된
bake,굽다
sweet,달콤한
root,뿌리
complain,불평하다
volleyball,배구
bank,은행
submarine,잠수함
sunny,화창한
butterfly,나비
astronaut,우주비행사
proud,자랑스러운
niece,조카(여)
compare,비교하다
invent,발명하다
taekwondo,태권도
table tennis,탁구
arrange,배열하다
circle,원
police officer,경찰관
bridge,다리(건축물)
trust,믿다
dancing,춤추기
taxi,택시
doctor,의사
May,5월
popular,인기있는
ambulance,구급차
cooking,요리하기
uncomfortable,불편한
lend,빌려주다
forget,잊다
locker,사물함
triangle,삼각형
art,미술
wish,소망하다
respect,존중하다
factory,공장
classmate,반친구
confused,혼란스러운
vet,수의사
pond,연못
disappointed,실망한
July,7월
comfortable,편안한
solve,풀다
ant,개미
wonderful,멋진
excited,신난
nurse,간호사
dangerous,위험한
scared,무서워하는
desert,사막
waterfall,폭포
March,3월
square,정사각형
temple,절
repair,고치다
cool,시원한
foggy,안개낀
continue,계속하다
painter,화가
useful,유용한
guess,추측하다
participate,참가하다
trail,오솔길
explain,설명하다
spider,거미
magician,마술사
careful,조심스러운
promise,약속하다
snowy,눈오는
bookstore,서점
jealous,질투하는
enter,들어가다
December,12월
church,교회
painting,그림 그리기
baseball,야구
English,영어
tennis,테니스
lake,호수
surprised,놀란
subway,지하철
dentist,치과의사
athlete,운동선수
Korean,국어
spicy,매운
valley,계곡
collect,모으다
branch,나뭇가지
singing,노래하기
plus,더하기
weigh,무게를 재다
motorcycle,오토바이
seed,씨앗
schedule,시간표
writer,작가
September,9월
October,10월
famous,유명한
windy,바람부는
February,2월
hockey,하키
worried,걱정하는
science,과학
hope,바라다
oval,타원
important,중요한
dream,꿈꾸다
diamond,다이아몬드 모양
bicycle,자전거
bitter,쓴
jogging,조깅
volcano,화산
April,4월
admire,감탄하다
ship,배
grandparent,조부모
class,수업
grow,자라다
encourage,격려하다
build,짓다
auditorium,강당
flavor,맛
firefighter,소방관
fire truck,소방차
polite,예의바른
neighbor,이웃
difficult,어려운
tunnel,터널
surfing,서핑
museum,박물관
engineer,기술자
cafeteria,급식실
harbor,항구
test,시험
truck,트럭
freezing,꽁꽁 언
coast,해안
post office,우체국
special,특별한
toy store,장난감 가게
bored,지루한
practice,연습하다
discuss,의논하다
count,세다
farmer,농부
badminton,배드민턴
soccer,축구
skiing,스키타기
lonely,외로운
minute,분
relieved,안도하는
useless,쓸모없는
ingredient,재료
careless,부주의한
boat,보트
meadow,초원
boxing,권투
salty,짠
holiday,휴일
January,1월
soldier,군인
station,역
agree,동의하다
cheap,싼
