leave,떠나다
textbook,교과서
visit,방문하다
actress,배우(여)
cook,요리사
prepare,준비하다
cycling,자전거타기
invite,초대하다
gym,체육관
humid,습한
swimming,수영
decide,결정하다
hiking,등산
leaf,잎
airport,공항
rude,무례한
warn,경고하다
number,숫자
basketball,농구
attend,참석하다
skating,스케이트타기
semester,학기
discover,발견하다
rectangle,직사각형
camping,캠핑
baker,제빵사
borrow,빌리다
cloudy,흐린
begin,시작하다
minus,빼기
scientist,과학자
insect,곤충
noisy,시끄러운
different,다른
kind,친절한
uniform,교복
actor,배우(남)
partner,짝
August,8월
nervous,긴장한
equal,같은
embarrassed,당황한
June,6월
lawyer,변호사
principal,교장선생님
earthquake,지진
collecting,수집하기
honest,정직한
dancer,무용수
planet,행성
pilot,조종사
second,초
November,11월
rocket,로켓
gymnastics,체조
boil,끓이다
train,기차
designer,디자이너
path,길
curious,궁금한
doubt,의심하다
island,섬
guard,경비원
brave,용감한
golf,골프
music,음악
change,바꾸다
history,역사
recipe,조리법
o'clock,정각
choose,고르다
measure,측정하다
forest,숲
sour,신
bus,버스
remember,기억하다
safe,안전한
warm,따뜻한
disagree,반대하다
finish,끝내다
return,돌아오다/반납하다
homework,숙제
jungle,정글
airplane,비행기
plant,식물
suggest,제안하다
photographer,사진작가
running,달리기
judge,판사
journalist,기자
