logical,논리적인
rule,규칙
rational,이성적인
conclusion,결론
society,사회
cooperation,협동
influence,영향을 주다
confidence,자신감
average,평균
dedicate,바치다
compare,비교하다
entrepreneur,사업가
perimeter,둘레
economist,경제학자
continent,대륙
challenge,도전
tolerate,견디다
curious,호기심 많은
researcher,연구원
analyze,분석하다
disease,질병
system,체계
solution,해결책
comfortable,편안한
requirement,요구사항
adapt,적응하다
aspect,측면
physical,신체적인
gas,기체
electricity,전기
culture,문화
report,보고하다
citizen,시민
devote,헌신하다
poverty,가난
stubborn,고집센
strive,노력하다
law,법
document,문서
achievement,성취
graph,그래프
local,지역의
force,힘
formula,공식
modest,겸손한
orbit,궤도
infection,감염
viewpoint,견해
equator,적도
reason,이유
freedom,자유
sincere,진실한
nation,국가
probably,아마도
overcome,극복하다
recovery,회복
natural,자연의
questionnaire,설문지
competition,경쟁
statistics,통계
effort,노력
liquid,액체
therefore,그러므로
usually,보통
environment,환경
patience,인내심
generous,너그러운
nutrition,영양
responsibility,책임
industry,산업
habitat,서식지
tsunami,쓰나미
species,종(생물)
cause,원인이 되다
immune,면역의
latitude,위도
convince,설득하다
cooperate,협력하다
evaluate,평가하다
rainforest,열대우림
fail,실패하다
magnet,자석
creativity,창의성
geometry,기하학
although,비록 ~이지만
practical,실용적인
plateau,고원
social,사회적인
probability,확률
trade,무역
publisher,출판인
canyon,협곡
gravity,중력
meanwhile,그 동안에
honesty,정직함
optimistic,낙관적인
manage,관리하다
interpreter,통역가
research,연구하다
predict,예측하다
diameter,지름
climate,기후
reasonable,합리적인
finally,마침내
argue,주장하다
consultant,상담가
artificial,인공의
empower,힘을 실어주다
element,요소
contribute,기여하다
besides,게다가
flood,홍수
improve,향상시키다
confident,자신감 있는
argument,논쟁
affect,영향을 미치다
tundra,툰드라
factor,요인
inventor,발명가
opportunity,기회
considerate,배려하는
oxygen,산소
summarize,요약하다
wealth,부유함
chart,차트
efficient,효율적인
create,창조하다
global,전 세계적인
circuit,회로
information,정보
protein,단백질
available,이용 가능한
chemical,화학물질
background,배경
procedure,절차
memory,기억
official,공식적인
experiment,실험
equation,방정식
generally,일반적으로
atmosphere,대기
estimate,추정하다
fraction,분수
area,넓이
resolve,해결하다
courage,용기
population,인구
conclude,결론짓다
election,선거
assignment,과제
