logical,논리적인
rule,규칙
rational,이성적인
conclusion,결론
society,사회
cooperation,협동
influence,영향을 주다
confidence,자신감
average,평균
dedicate,바치다
compare,비교하다
entrepreneur,사업가
perimeter,둘레
economist,경제학자
continent,대륙
challenge,도전
tolerate,견디다
curious,호기심 많은
researcher,연구원
analyze,분석하다
disease,질병
system,체계
solution,해결책
comfortable,편안한
requirement,요구사항
adapt,적응하다
aspect,측면
physical,신체적인
gas,기체
electricity,전기
culture,문화
report,보고하다
citizen,시민
devote,헌신하다
poverty,가난
stubborn,고집센
strive,노력하다
law,법
document,문서
achievement,성취
graph,그래프
local,지역의
force,힘
formula,공식
modest,겸손한
orbit,궤도
infection,감염
viewpoint,견해
equator,적도
reason,이유
freedom,자유
sincere,진실한
nation,국가
probably,아마도
overcome,극복하다
recovery,회복
natural,자연의
questionnaire,설문지
competition,경쟁
statistics,통계
effort,노력
liquid,액체
therefore,그러므로
usually,보통
environment,환경
patience,인내심
generous,너그러운
nutrition,영양
responsibility,책임
industry,산업
habitat,서식지
tsunami,쓰나미
species,종(생물)
cause,원인이 되다
immune,면역의
latitude,위도
convince,설득하다
cooperate,협력하다
evaluate,평가하다
rainforest,열대우림
fail,실패하다
magnet,자석
creativity,창의성
geometry,기하학
although,비록 ~이지만
practical,실용적인
plateau,고원
social,사회적인
probability,확률
trade,무역
publisher,출판인
canyon,협곡
gravity,중력
meanwhile,그 동안에
honesty,정직함
optimistic,낙관적인
manage,관리하다
interpreter,통역가
research,연구하다
predict,예측하다
diameter,지름
climate,기후
reasonable,합리적인
finally,마침내
argue,주장하다
consultant,상담가
artificial,인공의
empower,힘을 실어주다
element,요소
contribute,기여하다
besides,게다가
flood,홍수
improve,향상시키다
confident,자신감 있는
argument,논쟁
affect,영향을 미치다
tundra,툰드라
factor,요인
inventor,발명가
opportunity,기회
considerate,배려하는
oxygen,산소
summarize,요약하다
wealth,부유함
chart,차트
efficient,효율적인
create,창조하다
global,전 세계적인
circuit,회로
information,정보
protein,단백질
available,이용 가능한
chemical,화학물질
background,배경
procedure,절차
memory,기억
official,공식적인
experiment,실험
equation,방정식
generally,일반적으로
atmosphere,대기
estimate,추정하다
fraction,분수
area,넓이
resolve,해결하다
courage,용기
population,인구
conclude,결론짓다
election,선거
assignment,과제
standpoint,입장
certainly,확실히
reduce,줄이다
cautious,신중한
median,중앙값
longitude,경도
presentation,발표
solid,고체
structure,구조
virtual,가상의
globalization,세계화
instead,대신에
however,그러나
experience,경험
succeed,성공하다
technician,기술자
criteria,기준(복수)
temperature,온도
thoughtful,사려깊은
government,정부
translator,번역가
opinion,의견
compromise,타협하다
hurricane,허리케인
energy,에너지
duty,의무
ancient,고대의
drought,가뭄
process,과정
guideline,지침
record,기록하다
situation,상황
tradition,전통
instruction,지시
hypothesis,가설
skeleton,골격
pursue,추구하다
therapy,치료법
independence,독립
suddenly,갑자기
volume,부피
pollution,오염
democracy,민주주의
analyst,분석가
volunteer,자원봉사자
communication,의사소통
theory,이론
pessimistic,비관적인
especially,특히
ecosystem,생태계
political,정치적인
peninsula,반도
material,재료
valuable,귀중한
motivate,동기를 부여하다
fact,사실
diagram,도표
sequence,수열
perspective,관점
heritage,유산
schedule,일정
determined,단호한
necessary,필요한
sensitive,민감한
percentage,백분율
agriculture,농업
endure,견뎌내다
survey,설문조사
struggle,애쓰다
accomplish,이루다
inspire,영감을 주다
deadline,마감일
modern,현대의
editor,편집자
otherwise,그렇지 않으면
certificate,증명서
precious,소중한
humble,겸손한
imagine,상상하다
adjust,조정하다
cultural,문화적인
organize,조직하다
observe,관찰하다
mental,정신적인
persuade,설득하다
resource,자원
context,맥락
muscle,근육
handle,다루다
ambitious,야심찬
responsible,책임감 있는
community,공동체
imagination,상상력
result,결과가 되다
negotiate,협상하다
organ,장기
knowledge,지식
symptom,증상
radius,반지름
curiosity,호기심
right,권리
technology,기술
angle,각도
vitamin,비타민
matter,물질
cope,대처하다
savanna,사바나
architect,건축가
standard,기준
economy,경제
assumption,가정
treatment,치료
digital,디지털의
glacier,빙하
participate,참여하다
donate,기부하다
delta,삼각주
sacrifice,희생하다
evolution,진화
hemisphere,반구
discover,발견하다
tax,세금
investigate,조사하다
traditional,전통적인
evidence,증거
arrogant,거만한
eventually,결국
prevent,예방하다
diplomat,외교관
creative,창의적인
tolerant,관대한
calculate,계산하다
battery,건전지
archipelago,군도
avalanche,눈사태
actually,실제로
decimal,소수
component,구성요소
ratio,비율
carbon,탄소
reaction,반응
achieve,성취하다
vaccine,백신
project,과제/프로젝트
medicine,약
communicate,의사소통하다
economic,경제적인
hygiene,위생
politician,정치인
emotional,감정적인
