dolphin,돌고래
pencil,연필
Tuesday,화요일
family,가족
bye,안녕(헤어질 때)
Friday,금요일
garden,정원
mom,엄마
sixteen,열여섯
peach,복숭아
fox,여우
snake,뱀
hospital,병원
right,오른쪽
kangaroo,캥거루
robot,로봇
name,이름
dirty,더러운
rock,바위
where,어디
paper,종이
hamster,햄스터
I,나
Saturday,토요일
yes,네
river,강
eye,눈
zebra,얼룩말
front,앞
jacket,재킷
cow,소
eighteen,열여덟
climb,오르다
plate,접시
leg,다리
ruler,자
lion,사자
old,오래된
uncle,삼촌
phone,전화기
he,그
yesterday,어제
friend,친구
sea,바다
strong,힘센
thanks,고마워
sing,노래하다
look,보다
chocolate,초콜릿
owl,부엉이
eraser,지우개
candy,사탕
notebook,공책
blue,파란색
puzzle,퍼즐
jam,잼
skirt,치마
pig,돼지
water,물
pants,바지
horse,말
box,상자
thin,마른
hello,안녕(만났을 때)
boots,부츠
mother,어머니
snow,눈
Sunday,일요일
restaurant,식당
swim,수영하다
chair,의자
tree,나무
bike,자전거
kite,연
easy,쉬운
grape,포도
grass,잔디
cook,요리하다
close,닫다
tummy,배
pink,분홍색
cute,귀여운
rice,밥/쌀
sorry,미안해
student,학생
goodbye,잘 가
one,하나
what,무엇
today,오늘
ride,타다
playground,운동장
milk,우유
fish,물고기
slow,느린
when,언제
balloon,풍선
sheep,양
monkey,원숭이
tomorrow,내일
fly,날다
down,아래로
purple,보라색
she,그녀
who,누구
Wednesday,수요일
school,학교
scissors,가위
in,안에
afternoon,오후
summer,여름
classroom,교실
watermelon,수박
drink,마시다
nineteen,열아홉
throw,던지다
chicken,닭
park,공원
cloud,구름
big,큰
clock,시계
finger,손가락
fall,가을
day,날/하루
listen,듣다
wash,씻다
wind,바람
ten,열
hi,안녕
blocks,블록
new,새로운
library,도서관
cake,케이크
six,여섯
TV,텔레비전
sleep,자다
come,오다
fat,뚱뚱한
fourteen,열넷
on,위에
next,다음/옆
socks,양말
hamburger,햄버거
crayon,크레용
tiger,호랑이
bed,침대
lamp,램프
stand,서다
cookie,쿠키
red,빨간색
orange,주황색
