dolphin,돌고래
pencil,연필
Tuesday,화요일
family,가족
bye,안녕(헤어질 때)
Friday,금요일
garden,정원
mom,엄마
sixteen,열여섯
peach,복숭아
fox,여우
snake,뱀
hospital,병원
right,오른쪽
kangaroo,캥거루
robot,로봇
name,이름
dirty,더러운
rock,바위
where,어디
paper,종이
hamster,햄스터
I,나
Saturday,토요일
yes,네
river,강
eye,눈
zebra,얼룩말
front,앞
jacket,재킷
cow,소
eighteen,열여덟
climb,오르다
plate,접시
leg,다리
ruler,자
lion,사자
old,오래된
uncle,삼촌
phone,전화기
he,그
yesterday,어제
friend,친구
sea,바다
strong,힘센
thanks,고마워
sing,노래하다
look,보다
chocolate,초콜릿
owl,부엉이
eraser,지우개
candy,사탕
notebook,공책
blue,파란색
puzzle,퍼즐
jam,잼
skirt,치마
pig,돼지
water,물
pants,바지
horse,말
box,상자
thin,마른
hello,안녕(만났을 때)
boots,부츠
mother,어머니
snow,눈
Sunday,일요일
restaurant,식당
swim,수영하다
chair,의자
tree,나무
bike,자전거
kite,연
easy,쉬운
grape,포도
grass,잔디
cook,요리하다
close,닫다
tummy,배
pink,분홍색
cute,귀여운
rice,밥/쌀
sorry,미안해
student,학생
goodbye,잘 가
one,하나
what,무엇
today,오늘
ride,타다
