achieve,성취하다
acknowledge,인정하다
adapt,적응하다
analyze,분석하다
anticipate,예상하다
appreciate,감사하다
approach,접근하다
assist,돕다
assume,가정하다
attempt,시도하다
attract,끌어당기다
behave,행동하다
benefit,이익을 얻다
calculate,계산하다
cause,야기하다
challenge,도전하다
combine,결합하다
commit,전념하다
communicate,의사소통하다
conclude,결론을 내리다
confirm,확인하다
consist,구성되다
construct,건설하다
contribute,기여하다
convince,확신시키다
cope,대처하다
declare,선언하다
demonstrate,보여주다
determine,결정하다
differ,다르다
accurate,정확한
additional,추가적인
ambitious,야심 찬
anxious,불안한
appropriate,적절한
beneficial,유익한
capable,할 수 있는
competitive,경쟁적인
complex,복잡한
determined,단호한
consistent,일관된
constant,끊임없는
convenient,편리한
crucial,중요한
desperate,절박한
distinct,뚜렷한
efficient,효율적인
enthusiastic,열정적인
essential,필수적인
evident,명백한
extraordinary,비범한
flexible,유연한
frequent,빈번한
generous,너그러운
genuine,진실한
gradual,점진적인
independent,독립적인
inevitable,불가피한
initial,처음의
intense,강렬한
achievement,성취
advantage,이점
ambition,야망
anxiety,불안
method,방법
aspect,측면
assumption,가정
attitude,태도
awareness,인식
balance,균형
barrier,장벽
outcome,결과
priority,우선순위
circumstance,상황
commitment,헌신
competition,경쟁
concept,개념
confidence,자신감
consequence,결과
consideration,고려
contribution,기여
controversy,논란
crisis,위기
curiosity,호기심
determination,결단력
dilemma,딜레마
efficiency,효율성
emphasis,강조
enthusiasm,열정
estimate,추정
accomplish,완수하다
addicted,중독된
adequate,충분한
alternative,대안적인
apparent,분명한
aware,의식하는
reluctant,꺼리는
resilient,회복력 있는
comprehensive,포괄적인
thorough,철저한
continuous,지속적인
critical,비판적인
dependent,의존하는
diverse,다양한
dominant,지배적인
dramatic,극적인
dynamic,역동적인
eager,열망하는
effective,효과적인
emotional,감정적인
encouraging,격려하는
energetic,활기찬
equivalent,동등한
exceptional,예외적인
extensive,광범위한
fundamental,근본적인
guarantee,보장하다
identify,확인하다
illustrate,설명하다
impact,영향을 주다
influence,영향을 미치다
inspire,영감을 주다
instruct,지시하다
interact,상호작용하다
interpret,해석하다
investigate,조사하다
involve,포함하다
maintain,유지하다
manage,관리하다
maximize,최대화하다
minimize,최소화하다
motivate,동기를 부여하다
negotiate,협상하다
obtain,얻다
occur,발생하다
overcome,극복하다
participate,참여하다
perceive,인지하다
persuade,설득하다
predict,예측하다
adopt,채택하다
arise,발생하다
assess,평가하다
assure,확신시키다
attach,붙이다
boost,북돋우다
capacity,수용력
component,구성 요소
frustration,좌절감
insight,통찰력
