dog,개
wash,씻다
monkey,원숭이
run,달리다
tummy,배
ear,귀
you,너
pink,분홍색
park,공원
Friday,금요일
black,검은색
sing,노래하다
pretty,예쁜
spoon,숟가락
summer,여름
they,그들
gold,금색
five,다섯
eye,눈
brother,형/오빠/남동생
duck,오리
eleven,열하나
clock,시계
long,긴
front,앞
skirt,치마
friend,친구
help,돕다
balloon,풍선
sun,해
on,위에
chalk,분필
seven,일곱
sorry,미안해
shoes,신발
turtle,거북이
meat,고기
day,날/하루
snake,뱀
library,도서관
fly,날다
good,좋은
box,상자
chair,의자
mouse,쥐
he,그
up,위로
rice,밥/쌀
fifteen,열다섯
grandmother,할머니
teacher,선생님
grandfather,할아버지
cloud,구름
catch,잡다
how,어떻게
thin,마른
father,아버지
slow,느린
look,보다
sad,슬픈
angry,화난
bread,빵
big,큰
pig,돼지
twelve,열둘
puzzle,퍼즐
sea,바다
yesterday,어제
bike,자전거
grape,포도
sister,누나/언니/여동생
grass,잔디
white,흰색
tiger,호랑이
ice cream,아이스크림
doll,인형
next,다음/옆
bag,가방
mouth,입
playground,운동장
seventeen,열일곱
small,작은
go,가다
restaurant,식당
sheep,양
scarf,목도리
morning,아침
star,별
cat,고양이
gloves,장갑
