sour,신
March,3월
begin,시작하다
borrow,빌리다
practice,연습하다
flavor,맛
stranger,낯선 사람
ant,개미
exit,나가다
motorcycle,오토바이
count,세다
auditorium,강당
volleyball,배구
hour,시간
writer,작가
disagree,반대하다
January,1월
dangerous,위험한
decide,결정하다
cave,동굴
music,음악
wonderful,멋진
confused,혼란스러운
hope,바라다
trail,오솔길
comfortable,편안한
useless,쓸모없는
bakery,빵집
cook,요리사
ambulance,구급차
ingredient,재료
harbor,항구
waterfall,폭포
oval,타원
expensive,비싼
planet,행성
swimming,수영
sunny,화창한
diamond,다이아몬드 모양
jogging,조깅
build,짓다
introduce,소개하다
safe,안전한
bicycle,자전거
jealous,질투하는
cliff,절벽
surprised,놀란
wonder,궁금해하다
photographer,사진작가
locker,사물함
popular,인기있는
actor,배우(남)
volcano,화산
plus,더하기
ship,배
bridge,다리(건축물)
discover,발견하다
snowy,눈오는
collecting,수집하기
designer,디자이너
pilot,조종사
admire,감탄하다
difficult,어려운
airport,공항
spider,거미
equal,같은
continue,계속하다
science,과학
square,정사각형
singer,가수
astronaut,우주비행사
leave,떠나다
desert,사막
uniform,교복
August,8월
May,5월
homework,숙제
toy store,장난감 가게
running,달리기
fry,튀기다
lake,호수
invite,초대하다
cool,시원한
hallway,복도
test,시험
baking,빵 굽기
describe,묘사하다
taekwondo,태권도
taxi,택시
principal,교장선생님
semester,학기
firefighter,소방관
scared,무서워하는
bookstore,서점
suggest,제안하다
rectangle,직사각형
magician,마술사
bitter,쓴
factory,공장
fishing,낚시
class,수업
subway,지하철
librarian,사서
cafeteria,급식실
explain,설명하다
useful,유용한
solve,풀다
lend,빌려주다
protect,보호하다
farmer,농부
collect,모으다
jungle,정글
forest,숲
agree,동의하다
December,12월
boat,보트
police officer,경찰관
participate,참가하다
painter,화가
doubt,의심하다
surfing,서핑
gardening,정원 가꾸기
English,영어
trust,믿다
spicy,매운
number,숫자
rocket,로켓
prepare,준비하다
worried,걱정하는
church,교회
cheap,싼
soldier,군인
shy,수줍은
bank,은행
lonely,외로운
minus,빼기
arrive,도착하다
pond,연못
journalist,기자
encourage,격려하다
weigh,무게를 재다
partner,짝
sweet,달콤한
discuss,의논하다
April,4월
imagine,상상하다
organize,정리하다
different,다른
math,수학
windy,바람부는
