sour,신
March,3월
begin,시작하다
borrow,빌리다
practice,연습하다
flavor,맛
stranger,낯선 사람
ant,개미
exit,나가다
motorcycle,오토바이
count,세다
auditorium,강당
volleyball,배구
hour,시간
writer,작가
disagree,반대하다
January,1월
dangerous,위험한
decide,결정하다
cave,동굴
music,음악
wonderful,멋진
confused,혼란스러운
hope,바라다
trail,오솔길
comfortable,편안한
useless,쓸모없는
bakery,빵집
cook,요리사
ambulance,구급차
ingredient,재료
harbor,항구
waterfall,폭포
oval,타원
expensive,비싼
planet,행성
swimming,수영
sunny,화창한
diamond,다이아몬드 모양
jogging,조깅
build,짓다
introduce,소개하다
safe,안전한
bicycle,자전거
jealous,질투하는
cliff,절벽
surprised,놀란
wonder,궁금해하다
photographer,사진작가
locker,사물함
popular,인기있는
actor,배우(남)
volcano,화산
plus,더하기
ship,배
bridge,다리(건축물)
discover,발견하다
snowy,눈오는
collecting,수집하기
designer,디자이너
pilot,조종사
admire,감탄하다
difficult,어려운
airport,공항
spider,거미
equal,같은
continue,계속하다
science,과학
square,정사각형
singer,가수
astronaut,우주비행사
leave,떠나다
desert,사막
uniform,교복
August,8월
May,5월
homework,숙제
toy store,장난감 가게
running,달리기
fry,튀기다
lake,호수
invite,초대하다
cool,시원한
hallway,복도
test,시험
baking,빵 굽기
describe,묘사하다
taekwondo,태권도
taxi,택시
principal,교장선생님
semester,학기
firefighter,소방관
scared,무서워하는
bookstore,서점
suggest,제안하다
rectangle,직사각형
magician,마술사
bitter,쓴
factory,공장
fishing,낚시
class,수업
subway,지하철
librarian,사서
cafeteria,급식실
explain,설명하다
useful,유용한
solve,풀다
lend,빌려주다
protect,보호하다
farmer,농부
collect,모으다
jungle,정글
forest,숲
agree,동의하다
December,12월
boat,보트
police officer,경찰관
participate,참가하다
painter,화가
doubt,의심하다
surfing,서핑
gardening,정원 가꾸기
English,영어
trust,믿다
spicy,매운
number,숫자
rocket,로켓
prepare,준비하다
worried,걱정하는
church,교회
cheap,싼
soldier,군인
shy,수줍은
bank,은행
lonely,외로운
minus,빼기
arrive,도착하다
pond,연못
journalist,기자
encourage,격려하다
weigh,무게를 재다
partner,짝
sweet,달콤한
discuss,의논하다
April,4월
imagine,상상하다
organize,정리하다
different,다른
math,수학
windy,바람부는
polite,예의바른
rainy,비오는
bored,지루한
singing,노래하기
post office,우체국
plan,계획하다
plant,식물
museum,박물관
attend,참석하다
create,만들다
guess,추측하다
textbook,교과서
disappointed,실망한
recipe,조리법
nurse,간호사
freezing,꽁꽁 언
September,9월
finish,끝내다
cooking,요리하기
cycling,자전거타기
train,기차
bake,굽다
February,2월
minute,분
tower,탑
driver,운전사
visit,방문하다
table tennis,탁구
similar,비슷한
seed,씨앗
art,미술
fire truck,소방차
second,초
respect,존중하다
curious,궁금한
brave,용감한
city hall,시청
important,중요한
rude,무례한
careful,조심스러운
mix,섞다
October,10월
actress,배우(여)
hiking,등산
athlete,운동선수
holiday,휴일
judge,판사
July,7월
measure,측정하다
guard,경비원
submarine,잠수함
niece,조카(여)
apologize,사과하다
dancer,무용수
embarrassed,당황한
return,돌아오다/반납하다
choose,고르다
careless,부주의한
skating,스케이트타기
history,역사
cloudy,흐린
dancing,춤추기
compare,비교하다
start,시작하다
tennis,테니스
warm,따뜻한
tunnel,터널
badminton,배드민턴
Korean,국어
kind,친절한
swamp,늪
earthquake,지진
foggy,안개낀
promise,약속하다
special,특별한
November,11월
uncomfortable,불편한
island,섬
truck,트럭
arrange,배열하다
fresh,신선한
path,길
honest,정직한
nephew,조카(남)
doctor,의사
wish,소망하다
engineer,기술자
painting,그림 그리기
airplane,비행기
insect,곤충
hockey,하키
boxing,권투
butterfly,나비
forget,잊다
cousin,사촌
humid,습한
farm,농장
excited,신난
grandparent,조부모
repair,고치다
change,바꾸다
drawing,그리기
remember,기억하다
triangle,삼각형
salty,짠
dream,꿈꾸다
June,6월
bee,벌
theater,극장
gym,체육관
temple,절
o'clock,정각
complain,불평하다
frozen,냉동된
grow,자라다
golf,골프
scientist,과학자
meadow,초원
famous,유명한
classmate,반친구
enter,들어가다
gymnastics,체조
proud,자랑스러운
warn,경고하다
baseball,야구
leaf,잎
quiet,조용한
subject,과목
camping,캠핑
schedule,시간표
branch,나뭇가지
basketball,농구
soccer,축구
boil,끓이다
skiing,스키타기
bus,버스
nervous,긴장한
root,뿌리
valley,계곡
station,역
vet,수의사
relieved,안도하는
coast,해안
baker,제빵사
invent,발명하다
dentist,치과의사
neighbor,이웃
noisy,시끄러운
circle,원
lawyer,변호사
