sour,신
March,3월
begin,시작하다
borrow,빌리다
practice,연습하다
flavor,맛
stranger,낯선 사람
ant,개미
exit,나가다
motorcycle,오토바이
count,세다
auditorium,강당
volleyball,배구
hour,시간
writer,작가
disagree,반대하다
January,1월
dangerous,위험한
decide,결정하다
cave,동굴
music,음악
wonderful,멋진
confused,혼란스러운
hope,바라다
trail,오솔길
comfortable,편안한
useless,쓸모없는
bakery,빵집
cook,요리사
ambulance,구급차
ingredient,재료
harbor,항구
waterfall,폭포
oval,타원
expensive,비싼
planet,행성
swimming,수영
sunny,화창한
diamond,다이아몬드 모양
jogging,조깅
build,짓다
introduce,소개하다
safe,안전한
bicycle,자전거
jealous,질투하는
cliff,절벽
surprised,놀란
wonder,궁금해하다
photographer,사진작가
locker,사물함
popular,인기있는
actor,배우(남)
volcano,화산
plus,더하기
ship,배
bridge,다리(건축물)
discover,발견하다
snowy,눈오는
collecting,수집하기
designer,디자이너
pilot,조종사
admire,감탄하다
difficult,어려운
airport,공항
spider,거미
equal,같은
continue,계속하다
science,과학
square,정사각형
singer,가수
astronaut,우주비행사
leave,떠나다
desert,사막
uniform,교복
August,8월
May,5월
homework,숙제
toy store,장난감 가게
running,달리기
fry,튀기다
lake,호수
invite,초대하다
cool,시원한
hallway,복도
test,시험
baking,빵 굽기
describe,묘사하다
taekwondo,태권도
taxi,택시
principal,교장선생님
