earthquake,지진
pond,연못
Korean,국어
discover,발견하다
trust,믿다
skiing,스키타기
ship,배
organize,정리하다
spicy,매운
choose,고르다
second,초
toy store,장난감 가게
October,10월
subject,과목
May,5월
waterfall,폭포
taxi,택시
post office,우체국
participate,참가하다
humid,습한
invent,발명하다
forget,잊다
weigh,무게를 재다
bicycle,자전거
brave,용감한
prepare,준비하다
train,기차
complain,불평하다
locker,사물함
salty,짠
cafeteria,급식실
diamond,다이아몬드 모양
repair,고치다
seed,씨앗
path,길
guard,경비원
tower,탑
worried,걱정하는
factory,공장
butterfly,나비
excited,신난
recipe,조리법
basketball,농구
lake,호수
scientist,과학자
bakery,빵집
bank,은행
agree,동의하다
bridge,다리(건축물)
apologize,사과하다
embarrassed,당황한
sunny,화창한
baking,빵 굽기
curious,궁금한
planet,행성
freezing,꽁꽁 언
nephew,조카(남)
compare,비교하다
gardening,정원 가꾸기
judge,판사
collect,모으다
taekwondo,태권도
mix,섞다
January,1월
July,7월
designer,디자이너
soldier,군인
triangle,삼각형
difficult,어려운
neighbor,이웃
homework,숙제
rectangle,직사각형
desert,사막
important,중요한
math,수학
December,12월
table tennis,탁구
harbor,항구
useless,쓸모없는
dangerous,위험한
hope,바라다
music,음악
English,영어
safe,안전한
librarian,사서
subway,지하철
proud,자랑스러운
bake,굽다
trail,오솔길
bitter,쓴
farmer,농부
photographer,사진작가
promise,약속하다
expensive,비싼
gym,체육관
kind,친절한
pilot,조종사
fire truck,소방차
swamp,늪
airport,공항
dentist,치과의사
jungle,정글
forest,숲
frozen,냉동된
protect,보호하다
popular,인기있는
baseball,야구
rainy,비오는
truck,트럭
return,돌아오다/반납하다
minus,빼기
partner,짝
insect,곤충
coast,해안
athlete,운동선수
science,과학
lawyer,변호사
city hall,시청
church,교회
confused,혼란스러운
flavor,맛
November,11월
number,숫자
cave,동굴
fishing,낚시
disagree,반대하다
fresh,신선한
relieved,안도하는
leaf,잎
badminton,배드민턴
ingredient,재료
spider,거미
motorcycle,오토바이
museum,박물관
rude,무례한
auditorium,강당
airplane,비행기
discuss,의논하다
wonder,궁금해하다
polite,예의바른
respect,존중하다
painter,화가
ambulance,구급차
guess,추측하다
boxing,권투
class,수업
plant,식물
enter,들어가다
singer,가수
warm,따뜻한
circle,원
art,미술
history,역사
niece,조카(여)
square,정사각형
arrive,도착하다
minute,분
build,짓다
island,섬
valley,계곡
holiday,휴일
boat,보트
continue,계속하다
attend,참석하다
plus,더하기
hallway,복도
tennis,테니스
careless,부주의한
journalist,기자
practice,연습하다
actor,배우(남)
September,9월
schedule,시간표
jogging,조깅
driver,운전사
leave,떠나다
noisy,시끄러운
uniform,교복
borrow,빌리다
grow,자라다
fry,튀기다
begin,시작하다
hockey,하키
disappointed,실망한
theater,극장
famous,유명한
shy,수줍은
swimming,수영
writer,작가
rocket,로켓
dancer,무용수
finish,끝내다
wish,소망하다
lonely,외로운
June,6월
sour,신
start,시작하다
temple,절
camping,캠핑
April,4월
doctor,의사
cousin,사촌
singing,노래하기
meadow,초원
August,8월
admire,감탄하다
remember,기억하다
volleyball,배구
engineer,기술자
o'clock,정각
dancing,춤추기
classmate,반친구
cliff,절벽
gymnastics,체조
lend,빌려주다
textbook,교과서
collecting,수집하기
warn,경고하다
February,2월
root,뿌리
explain,설명하다
tunnel,터널
comfortable,편안한
special,특별한
describe,묘사하다
bookstore,서점
drawing,그리기
doubt,의심하다
bus,버스
foggy,안개낀
introduce,소개하다
wonderful,멋진
oval,타원
astronaut,우주비행사
branch,나뭇가지
running,달리기
decide,결정하다
farm,농장
plan,계획하다
cycling,자전거타기
March,3월
boil,끓이다
scared,무서워하는
suggest,제안하다
jealous,질투하는
hiking,등산
change,바꾸다
arrange,배열하다
careful,조심스러운
baker,제빵사
sweet,달콤한
nervous,긴장한
cheap,싼
exit,나가다
cool,시원한
submarine,잠수함
police officer,경찰관
golf,골프
bee,벌
useful,유용한
soccer,축구
quiet,조용한
similar,비슷한
equal,같은
grandparent,조부모
honest,정직한
encourage,격려하다
windy,바람부는
nurse,간호사
station,역
dream,꿈꾸다
vet,수의사
bored,지루한
surfing,서핑
snowy,눈오는
different,다른
skating,스케이트타기
actress,배우(여)
ant,개미
painting,그림 그리기
cook,요리사
cloudy,흐린
hour,시간
uncomfortable,불편한
cooking,요리하기
imagine,상상하다
semester,학기
test,시험
visit,방문하다
solve,풀다
volcano,화산
stranger,낯선 사람
principal,교장선생님
measure,측정하다
firefighter,소방관
create,만들다
count,세다
surprised,놀란
invite,초대하다
magician,마술사
