social,사회적인
aspect,측면
technician,기술자
communication,의사소통
result,결과가 되다
heritage,유산
process,과정
diameter,지름
especially,특히
government,정부
curiosity,호기심
component,구성요소
diplomat,외교관
graph,그래프
adapt,적응하다
procedure,절차
duty,의무
certificate,증명서
empower,힘을 실어주다
instruction,지시
wealth,부유함
species,종(생물)
questionnaire,설문지
tolerate,견디다
assignment,과제
instead,대신에
criteria,기준(복수)
deadline,마감일
accomplish,이루다
cautious,신중한
element,요소
guideline,지침
factor,요인
experience,경험
curious,호기심 많은
structure,구조
recovery,회복
inventor,발명가
tundra,툰드라
agriculture,농업
canyon,협곡
resolve,해결하다
treatment,치료
reduce,줄이다
law,법
honesty,정직함
meanwhile,그 동안에
efficient,효율적인
solid,고체
evolution,진화
delta,삼각주
situation,상황
determined,단호한
report,보고하다
estimate,추정하다
opinion,의견
actually,실제로
cope,대처하다
chart,차트
force,힘
tradition,전통
standard,기준
strive,노력하다
ancient,고대의
organ,장기
economist,경제학자
angle,각도
local,지역의
rainforest,열대우림
pessimistic,비관적인
chemical,화학물질
courage,용기
adjust,조정하다
peninsula,반도
atmosphere,대기
create,창조하다
digital,디지털의
modern,현대의
nation,국가
influence,영향을 주다
translator,번역가
suddenly,갑자기
otherwise,그렇지 않으면
ambitious,야심찬
vitamin,비타민
responsible,책임감 있는
struggle,애쓰다
climate,기후
nutrition,영양
evaluate,평가하다
medicine,약
comfortable,편안한
handle,다루다
natural,자연의
plateau,고원
theory,이론
hygiene,위생
opportunity,기회
viewpoint,견해
stubborn,고집센
presentation,발표
matter,물질
artificial,인공의
avalanche,눈사태
finally,마침내
globalization,세계화
geometry,기하학
muscle,근육
organize,조직하다
requirement,요구사항
society,사회
circuit,회로
improve,향상시키다
imagine,상상하다
certainly,확실히
achieve,성취하다
conclusion,결론
industry,산업
background,배경
humble,겸손한
compare,비교하다
hemisphere,반구
decimal,소수
median,중앙값
knowledge,지식
probably,아마도
gravity,중력
participate,참여하다
sequence,수열
calculate,계산하다
arrogant,거만한
population,인구
therapy,치료법
available,이용 가능한
dedicate,바치다
assumption,가정
formula,공식
pollution,오염
energy,에너지
convince,설득하다
community,공동체
politician,정치인
immune,면역의
reason,이유
investigate,조사하다
besides,게다가
solution,해결책
rational,이성적인
liquid,액체
creative,창의적인
