social,사회적인
aspect,측면
technician,기술자
communication,의사소통
result,결과가 되다
heritage,유산
process,과정
diameter,지름
especially,특히
government,정부
curiosity,호기심
component,구성요소
diplomat,외교관
graph,그래프
adapt,적응하다
procedure,절차
duty,의무
certificate,증명서
empower,힘을 실어주다
instruction,지시
wealth,부유함
species,종(생물)
questionnaire,설문지
tolerate,견디다
assignment,과제
instead,대신에
criteria,기준(복수)
deadline,마감일
accomplish,이루다
cautious,신중한
element,요소
guideline,지침
factor,요인
experience,경험
curious,호기심 많은
structure,구조
recovery,회복
inventor,발명가
tundra,툰드라
agriculture,농업
canyon,협곡
resolve,해결하다
treatment,치료
reduce,줄이다
law,법
honesty,정직함
meanwhile,그 동안에
efficient,효율적인
solid,고체
evolution,진화
delta,삼각주
situation,상황
determined,단호한
report,보고하다
estimate,추정하다
opinion,의견
actually,실제로
cope,대처하다
chart,차트
force,힘
tradition,전통
standard,기준
strive,노력하다
ancient,고대의
organ,장기
economist,경제학자
angle,각도
local,지역의
rainforest,열대우림
pessimistic,비관적인
chemical,화학물질
courage,용기
adjust,조정하다
peninsula,반도
atmosphere,대기
create,창조하다
digital,디지털의
modern,현대의
nation,국가
influence,영향을 주다
translator,번역가
suddenly,갑자기
otherwise,그렇지 않으면
ambitious,야심찬
vitamin,비타민
responsible,책임감 있는
struggle,애쓰다
climate,기후
nutrition,영양
evaluate,평가하다
