boots,부츠
brown,갈색
ok,좋아/알았어
cake,케이크
ball,공
park,공원
pretty,예쁜
playground,운동장
thirteen,열셋
week,주
five,다섯
name,이름
brother,형/오빠/남동생
gold,금색
mother,어머니
cup,컵
up,위로
he,그
jacket,재킷
small,작은
cloud,구름
sing,노래하다
who,누구
angry,화난
skirt,치마
three,셋
why,왜
tummy,배
apple,사과
listen,듣다
eight,여덟
where,어디
sea,바다
grandmother,할머니
rice,밥/쌀
eighteen,열여덟
eat,먹다
grass,잔디
spoon,숟가락
coat,코트
box,상자
fat,뚱뚱한
grandfather,할아버지
glue,풀
bye,안녕(헤어질 때)
green,초록색
owl,부엉이
big,큰
long,긴
Tuesday,화요일
thanks,고마워
notebook,공책
mouse,쥐
foot,발
sleep,자다
mountain,산
read,읽다
uncle,삼촌
elephant,코끼리
twelve,열둘
sky,하늘
father,아버지
grape,포도
fall,가을
today,오늘
soup,수프
paper,종이
dress,원피스
hamburger,햄버거
fourteen,열넷
seventeen,열일곱
pencil,연필
chalk,분필
orange,주황색
bread,빵
ten,열
milk,우유
tiger,호랑이
pig,돼지
yellow,노란색
horse,말
month,달/월
cold,추운
ice cream,아이스크림
go,가다
scarf,목도리
blue,파란색
I,나
one,하나
nose,코
bed,침대
sad,슬픈
front,앞
rock,바위
six,여섯
sandwich,샌드위치
scissors,가위
next,다음/옆
cook,요리하다
night,밤
write,쓰다
how,어떻게
kangaroo,캥거루
strawberry,딸기
deer,사슴
star,별
we,우리
watermelon,수박
garden,정원
baby,아기
day,날/하루
drink,마시다
gray,회색
toy car,장난감 자동차
fly,날다
snow,눈
cat,고양이
goodbye,잘 가
fox,여우
moon,달
frog,개구리
close,닫다
chicken,닭
white,흰색
stand,서다
down,아래로
family,가족
hair,머리카락
morning,아침
school,학교
zebra,얼룩말
sheep,양
eleven,열하나
TV,텔레비전
four,넷
whale,고래
purple,보라색
year,해/년
mom,엄마
juice,주스
teacher,선생님
river,강
in,안에
phone,전화기
peach,복숭아
fast,빠른
catch,잡다
Thursday,목요일
neck,목
Saturday,토요일
hand,손
hat,모자
back,뒤
tooth,이
balloon,풍선
salad,샐러드
look,보다
chocolate,초콜릿
dog,개
hello,안녕(만났을 때)
crayon,크레용
chair,의자
evening,저녁
shoes,신발
thin,마른
dad,아빠
afternoon,오후
kite,연
eraser,지우개
plate,접시
robot,로봇
shirt,셔츠
two,둘
hot,더운
desk,책상
nineteen,열아홉
candy,사탕
bike,자전거
dance,춤추다
puzzle,퍼즐
twenty,스물
bird,새
sun,해
open,열다
when,언제
talk,말하다
computer,컴퓨터
clean,깨끗한
hospital,병원
help,돕다
she,그녀
yesterday,어제
home,집
old,오래된
swim,수영하다
beach,해변
slow,느린
walk,걷다
come,오다
run,달리다
doll,인형
meat,고기
egg,달걀
sister,누나/언니/여동생
finger,손가락
pizza,피자
sit,앉다
zoo,동물원
gloves,장갑
summer,여름
pink,분홍색
short,짧은
throw,던지다
arm,팔
bear,곰
bag,가방
panda,판다
left,왼쪽
tomorrow,내일
cow,소
ear,귀
mouth,입
nine,아홉
they,그들
classroom,교실
wind,바람
climb,오르다
rabbit,토끼
fish,물고기
new,새로운
jump,뛰다
weak,약한
tree,나무
seven,일곱
store,가게
Monday,월요일
sixteen,열여섯
play,놀다
pants,바지
student,학생
cookie,쿠키
snake,뱀
on,위에
blocks,블록
strong,힘센
hamster,햄스터
giraffe,기린
dirty,더러운
wash,씻다
clock,시계
lamp,램프
market,시장
library,도서관
eye,눈
fifteen,열다섯
socks,양말
black,검은색
cheese,치즈
duck,오리
yes,네
dolphin,돌고래
shoulder,어깨
book,책
restaurant,식당
jam,잼
turtle,거북이
monkey,원숭이
tall,키가 큰
hi,안녕
happy,행복한
red,빨간색
lion,사자
sorry,미안해
no,아니요
ride,타다
leg,다리
what,무엇
board,칠판
bad,나쁜
you,너
spring,봄
friend,친구
under,아래에
winter,겨울
head,머리
aunt,이모/고모
Friday,금요일
Wednesday,수요일
good,좋은
rain,비
Sunday,일요일
water,물
banana,바나나
right,오른쪽
easy,쉬운
ruler,자
draw,그리다
cute,귀여운
flower,꽃
please,제발/부탁해
