boots,부츠
brown,갈색
ok,좋아/알았어
cake,케이크
ball,공
park,공원
pretty,예쁜
playground,운동장
thirteen,열셋
week,주
five,다섯
name,이름
brother,형/오빠/남동생
gold,금색
mother,어머니
cup,컵
up,위로
he,그
jacket,재킷
small,작은
cloud,구름
sing,노래하다
who,누구
angry,화난
skirt,치마
three,셋
why,왜
tummy,배
apple,사과
listen,듣다
eight,여덟
where,어디
sea,바다
grandmother,할머니
rice,밥/쌀
eighteen,열여덟
eat,먹다
grass,잔디
spoon,숟가락
coat,코트
box,상자
fat,뚱뚱한
grandfather,할아버지
glue,풀
bye,안녕(헤어질 때)
green,초록색
owl,부엉이
big,큰
long,긴
Tuesday,화요일
thanks,고마워
notebook,공책
mouse,쥐
foot,발
sleep,자다
mountain,산
read,읽다
uncle,삼촌
elephant,코끼리
twelve,열둘
sky,하늘
father,아버지
grape,포도
fall,가을
today,오늘
soup,수프
paper,종이
dress,원피스
hamburger,햄버거
fourteen,열넷
seventeen,열일곱
pencil,연필
chalk,분필
orange,주황색
bread,빵
ten,열
milk,우유
tiger,호랑이
pig,돼지
yellow,노란색
horse,말
month,달/월
cold,추운
ice cream,아이스크림
go,가다
scarf,목도리
blue,파란색
I,나
one,하나
nose,코
