hello,안녕(만났을 때)
fish,물고기
twelve,열둘
next,다음/옆
whale,고래
student,학생
talk,말하다
neck,목
he,그
dress,원피스
seven,일곱
weak,약한
elephant,코끼리
bad,나쁜
restaurant,식당
when,언제
chair,의자
catch,잡다
short,짧은
back,뒤
she,그녀
cookie,쿠키
cow,소
deer,사슴
horse,말
turtle,거북이
thanks,고마워
hamster,햄스터
panda,판다
nose,코
flower,꽃
rock,바위
bye,안녕(헤어질 때)
doll,인형
sing,노래하다
tiger,호랑이
water,물
wash,씻다
milk,우유
clock,시계
year,해/년
sister,누나/언니/여동생
salad,샐러드
front,앞
grass,잔디
ok,좋아/알았어
peach,복숭아
dirty,더러운
down,아래로
who,누구
two,둘
library,도서관
today,오늘
finger,손가락
wind,바람
walk,걷다
nineteen,열아홉
grandfather,할아버지
sun,해
one,하나
strong,힘센
brown,갈색
eleven,열하나
tall,키가 큰
left,왼쪽
right,오른쪽
six,여섯
sleep,자다
jacket,재킷
afternoon,오후
mountain,산
new,새로운
home,집
cup,컵
juice,주스
stand,서다
uncle,삼촌
swim,수영하다
zebra,얼룩말
sheep,양
mother,어머니
sorry,미안해
rice,밥/쌀
fast,빠른
store,가게
they,그들
friend,친구
small,작은
bird,새
climb,오르다
night,밤
yesterday,어제
candy,사탕
owl,부엉이
sea,바다
pig,돼지
computer,컴퓨터
fall,가을
dog,개
play,놀다
blocks,블록
black,검은색
four,넷
name,이름
pencil,연필
lion,사자
gray,회색
draw,그리다
hospital,병원
dance,춤추다
skirt,치마
lamp,램프
three,셋
crayon,크레용
kangaroo,캥거루
pretty,예쁜
teacher,선생님
easy,쉬운
sit,앉다
fourteen,열넷
listen,듣다
TV,텔레비전
hamburger,햄버거
frog,개구리
cake,케이크
I,나
brother,형/오빠/남동생
paper,종이
orange,주황색
yellow,노란색
white,흰색
fifteen,열다섯
coat,코트
meat,고기
boots,부츠
snow,눈
shirt,셔츠
yes,네
Sunday,일요일
grape,포도
write,쓰다
please,제발/부탁해
sandwich,샌드위치
fly,날다
chocolate,초콜릿
under,아래에
moon,달
tooth,이
bag,가방
run,달리다
