hello,안녕(만났을 때)
fish,물고기
twelve,열둘
next,다음/옆
whale,고래
student,학생
talk,말하다
neck,목
he,그
dress,원피스
seven,일곱
weak,약한
elephant,코끼리
bad,나쁜
restaurant,식당
when,언제
chair,의자
catch,잡다
short,짧은
back,뒤
she,그녀
cookie,쿠키
cow,소
deer,사슴
horse,말
turtle,거북이
thanks,고마워
hamster,햄스터
panda,판다
nose,코
flower,꽃
rock,바위
bye,안녕(헤어질 때)
doll,인형
sing,노래하다
tiger,호랑이
water,물
wash,씻다
milk,우유
clock,시계
year,해/년
sister,누나/언니/여동생
salad,샐러드
front,앞
grass,잔디
ok,좋아/알았어
peach,복숭아
dirty,더러운
down,아래로
who,누구
two,둘
library,도서관
today,오늘
finger,손가락
wind,바람
walk,걷다
nineteen,열아홉
grandfather,할아버지
sun,해
one,하나
strong,힘센
brown,갈색
eleven,열하나
tall,키가 큰
left,왼쪽
right,오른쪽
six,여섯
sleep,자다
jacket,재킷
afternoon,오후
mountain,산
new,새로운
home,집
cup,컵
juice,주스
stand,서다
uncle,삼촌
swim,수영하다
zebra,얼룩말
sheep,양
mother,어머니
sorry,미안해
rice,밥/쌀
fast,빠른
store,가게
they,그들
friend,친구
small,작은
bird,새
climb,오르다
night,밤
yesterday,어제
candy,사탕
owl,부엉이
sea,바다
pig,돼지
computer,컴퓨터
fall,가을
dog,개
play,놀다
blocks,블록
black,검은색
four,넷
name,이름
pencil,연필
lion,사자
gray,회색
draw,그리다
hospital,병원
dance,춤추다
skirt,치마
lamp,램프
three,셋
crayon,크레용
kangaroo,캥거루
pretty,예쁜
teacher,선생님
easy,쉬운
sit,앉다
fourteen,열넷
listen,듣다
TV,텔레비전
hamburger,햄버거
frog,개구리
cake,케이크
I,나
brother,형/오빠/남동생
paper,종이
orange,주황색
yellow,노란색
white,흰색
fifteen,열다섯
coat,코트
meat,고기
boots,부츠
snow,눈
shirt,셔츠
yes,네
Sunday,일요일
grape,포도
write,쓰다
please,제발/부탁해
sandwich,샌드위치
fly,날다
chocolate,초콜릿
under,아래에
moon,달
tooth,이
bag,가방
run,달리다
garden,정원
eighteen,열여덟
blue,파란색
fat,뚱뚱한
why,왜
winter,겨울
balloon,풍선
go,가다
summer,여름
desk,책상
tomorrow,내일
month,달/월
cold,추운
box,상자
where,어디
gloves,장갑
baby,아기
duck,오리
puzzle,퍼즐
leg,다리
you,너
help,돕다
throw,던지다
pants,바지
goodbye,잘 가
purple,보라색
fox,여우
grandmother,할머니
good,좋은
look,보다
cheese,치즈
tree,나무
old,오래된
playground,운동장
eat,먹다
Saturday,토요일
ten,열
soup,수프
snake,뱀
Tuesday,화요일
phone,전화기
morning,아침
scarf,목도리
cat,고양이
big,큰
eraser,지우개
strawberry,딸기
gold,금색
mouse,쥐
in,안에
day,날/하루
hair,머리카락
week,주
cute,귀여운
head,머리
watermelon,수박
hat,모자
bear,곰
tummy,배
on,위에
mouth,입
how,어떻게
jump,뛰다
bread,빵
Thursday,목요일
beach,해변
angry,화난
read,읽다
ruler,자
hi,안녕
book,책
ear,귀
robot,로봇
star,별
ride,타다
come,오다
socks,양말
we,우리
glue,풀
aunt,이모/고모
green,초록색
thirteen,열셋
hand,손
red,빨간색
Friday,금요일
long,긴
cook,요리하다
eye,눈
five,다섯
father,아버지
happy,행복한
slow,느린
ball,공
Wednesday,수요일
hot,더운
toy car,장난감 자동차
rain,비
seventeen,열일곱
nine,아홉
spring,봄
thin,마른
cloud,구름
apple,사과
sixteen,열여섯
bike,자전거
notebook,공책
rabbit,토끼
classroom,교실
banana,바나나
dad,아빠
pink,분홍색
drink,마시다
close,닫다
eight,여덟
sky,하늘
foot,발
ice cream,아이스크림
pizza,피자
what,무엇
giraffe,기린
family,가족
mom,엄마
no,아니요
board,칠판
zoo,동물원
plate,접시
twenty,스물
arm,팔
shoes,신발
sad,슬픈
kite,연
school,학교
open,열다
dolphin,돌고래
river,강
bed,침대
shoulder,어깨
chicken,닭
chalk,분필
scissors,가위
spoon,숟가락
park,공원
jam,잼
egg,달걀
monkey,원숭이
evening,저녁
clean,깨끗한
up,위로
Monday,월요일
market,시장
