badminton,배드민턴
surprised,놀란
singing,노래하기
bee,벌
February,2월
suggest,제안하다
skiing,스키타기
minus,빼기
fishing,낚시
disagree,반대하다
scared,무서워하는
factory,공장
swamp,늪
rocket,로켓
librarian,사서
spicy,매운
ingredient,재료
flavor,맛
auditorium,강당
engineer,기술자
locker,사물함
volcano,화산
uniform,교복
dream,꿈꾸다
stranger,낯선 사람
textbook,교과서
pond,연못
dancer,무용수
create,만들다
writer,작가
kind,친절한
path,길
prepare,준비하다
cafeteria,급식실
warn,경고하다
bored,지루한
proud,자랑스러운
harbor,항구
gardening,정원 가꾸기
skating,스케이트타기
farmer,농부
respect,존중하다
rainy,비오는
airport,공항
airplane,비행기
leaf,잎
return,돌아오다/반납하다
submarine,잠수함
wish,소망하다
arrive,도착하다
hockey,하키
plus,더하기
police officer,경찰관
bank,은행
doubt,의심하다
camping,캠핑
freezing,꽁꽁 언
branch,나뭇가지
homework,숙제
encourage,격려하다
invite,초대하다
special,특별한
neighbor,이웃
train,기차
truck,트럭
semester,학기
temple,절
change,바꾸다
November,11월
describe,묘사하다
cook,요리사
agree,동의하다
bitter,쓴
explain,설명하다
niece,조카(여)
hallway,복도
invent,발명하다
taekwondo,태권도
important,중요한
imagine,상상하다
protect,보호하다
jealous,질투하는
count,세다
baking,빵 굽기
table tennis,탁구
salty,짠
famous,유명한
baker,제빵사
April,4월
jogging,조깅
city hall,시청
July,7월
discover,발견하다
astronaut,우주비행사
finish,끝내다
careful,조심스러운
nurse,간호사
embarrassed,당황한
dentist,치과의사
tennis,테니스
hope,바라다
magician,마술사
partner,짝
dancing,춤추기
decide,결정하다
firefighter,소방관
useless,쓸모없는
bridge,다리(건축물)
lawyer,변호사
organize,정리하다
lake,호수
dangerous,위험한
cave,동굴
popular,인기있는
post office,우체국
continue,계속하다
island,섬
collecting,수집하기
lend,빌려주다
January,1월
minute,분
May,5월
butterfly,나비
farm,농장
cooking,요리하기
hour,시간
photographer,사진작가
comfortable,편안한
forget,잊다
bakery,빵집
uncomfortable,불편한
athlete,운동선수
grow,자라다
actress,배우(여)
holiday,휴일
leave,떠나다
quiet,조용한
museum,박물관
boil,끓이다
baseball,야구
seed,씨앗
honest,정직한
Korean,국어
science,과학
worried,걱정하는
swimming,수영
schedule,시간표
bicycle,자전거
discuss,의논하다
guess,추측하다
