organize,정리하다
agree,동의하다
lawyer,변호사
submarine,잠수함
nervous,긴장한
dancer,무용수
describe,묘사하다
comfortable,편안한
salty,짠
lend,빌려주다
bitter,쓴
plant,식물
diamond,다이아몬드 모양
principal,교장선생님
hope,바라다
fishing,낚시
math,수학
disagree,반대하다
leaf,잎
gymnastics,체조
compare,비교하다
snowy,눈오는
theater,극장
warn,경고하다
vet,수의사
leave,떠나다
designer,디자이너
jealous,질투하는
hallway,복도
singer,가수
airplane,비행기
cheap,싼
honest,정직한
noisy,시끄러운
encourage,격려하다
useless,쓸모없는
fresh,신선한
art,미술
coast,해안
pond,연못
police officer,경찰관
science,과학
excited,신난
minute,분
famous,유명한
embarrassed,당황한
cafeteria,급식실
baking,빵 굽기
brave,용감한
airport,공항
shy,수줍은
decide,결정하다
judge,판사
fire truck,소방차
enter,들어가다
scientist,과학자
grandparent,조부모
kind,친절한
subway,지하철
surfing,서핑
tunnel,터널
niece,조카(여)
worried,걱정하는
history,역사
tower,탑
test,시험
March,3월
island,섬
path,길
discuss,의논하다
photographer,사진작가
number,숫자
classmate,반친구
foggy,안개낀
continue,계속하다
actor,배우(남)
meadow,초원
February,2월
wonderful,멋진
ambulance,구급차
running,달리기
bee,벌
dancing,춤추기
nephew,조카(남)
practice,연습하다
journalist,기자
doubt,의심하다
cave,동굴
recipe,조리법
imagine,상상하다
guess,추측하다
painting,그림 그리기
grow,자라다
city hall,시청
harbor,항구
frozen,냉동된
locker,사물함
measure,측정하다
boil,끓이다
lonely,외로운
hiking,등산
relieved,안도하는
windy,바람부는
wish,소망하다
skiing,스키타기
invent,발명하다
badminton,배드민턴
oval,타원
rocket,로켓
class,수업
arrive,도착하다
disappointed,실망한
planet,행성
begin,시작하다
careful,조심스러운
truck,트럭
participate,참가하다
trail,오솔길
gardening,정원 가꾸기
admire,감탄하다
schedule,시간표
textbook,교과서
complain,불평하다
wonder,궁금해하다
suggest,제안하다
count,세다
boat,보트
cloudy,흐린
skating,스케이트타기
August,8월
dentist,치과의사
dangerous,위험한
driver,운전사
cooking,요리하기
arrange,배열하다
seed,씨앗
special,특별한
choose,고르다
farmer,농부
safe,안전한
start,시작하다
train,기차
May,5월
branch,나뭇가지
engineer,기술자
collecting,수집하기
September,9월
lake,호수
taxi,택시
doctor,의사
polite,예의바른
pilot,조종사
return,돌아오다/반납하다
singing,노래하기
December,12월
soldier,군인
weigh,무게를 재다
ship,배
curious,궁금한
boxing,권투
June,6월
church,교회
exit,나가다
nurse,간호사
ingredient,재료
athlete,운동선수
build,짓다
remember,기억하다
humid,습한
gym,체육관
fry,튀기다
respect,존중하다
bake,굽다
hour,시간
golf,골프
attend,참석하다
repair,고치다
triangle,삼각형
discover,발견하다
root,뿌리
partner,짝
soccer,축구
apologize,사과하다
tennis,테니스
trust,믿다
expensive,비싼
swimming,수영
bored,지루한
rectangle,직사각형
January,1월
painter,화가
drawing,그리기
plan,계획하다
jogging,조깅
baseball,야구
confused,혼란스러운
bookstore,서점
circle,원
sweet,달콤한
volcano,화산
different,다른
warm,따뜻한
semester,학기
flavor,맛
dream,꿈꾸다
astronaut,우주비행사
square,정사각형
factory,공장
holiday,휴일
butterfly,나비
waterfall,폭포
post office,우체국
volleyball,배구
quiet,조용한
table tennis,탁구
temple,절
protect,보호하다
guard,경비원
proud,자랑스러운
taekwondo,태권도
Korean,국어
actress,배우(여)
o'clock,정각
bakery,빵집
neighbor,이웃
insect,곤충
museum,박물관
sunny,화창한
similar,비슷한
camping,캠핑
July,7월
stranger,낯선 사람
bicycle,자전거
bridge,다리(건축물)
plus,더하기
spicy,매운
English,영어
uniform,교복
rainy,비오는
farm,농장
sour,신
firefighter,소방관
finish,끝내다
minus,빼기
homework,숙제
earthquake,지진
surprised,놀란
cycling,자전거타기
station,역
basketball,농구
ant,개미
cousin,사촌
freezing,꽁꽁 언
important,중요한
create,만들다
cool,시원한
uncomfortable,불편한
cook,요리사
difficult,어려운
invite,초대하다
desert,사막
toy store,장난감 가게
valley,계곡
collect,모으다
change,바꾸다
swamp,늪
careless,부주의한
subject,과목
November,11월
borrow,빌리다
October,10월
prepare,준비하다
writer,작가
April,4월
jungle,정글
solve,풀다
visit,방문하다
scared,무서워하는
popular,인기있는
rude,무례한
librarian,사서
cliff,절벽
second,초
introduce,소개하다
music,음악
bank,은행
spider,거미
magician,마술사
forest,숲
mix,섞다
promise,약속하다
useful,유용한
explain,설명하다
forget,잊다
hockey,하키
equal,같은
auditorium,강당
motorcycle,오토바이
bus,버스
baker,제빵사
