organize,정리하다
agree,동의하다
lawyer,변호사
submarine,잠수함
nervous,긴장한
dancer,무용수
describe,묘사하다
comfortable,편안한
salty,짠
lend,빌려주다
bitter,쓴
plant,식물
diamond,다이아몬드 모양
principal,교장선생님
hope,바라다
fishing,낚시
math,수학
disagree,반대하다
leaf,잎
gymnastics,체조
compare,비교하다
snowy,눈오는
theater,극장
warn,경고하다
vet,수의사
leave,떠나다
designer,디자이너
jealous,질투하는
hallway,복도
singer,가수
airplane,비행기
cheap,싼
honest,정직한
noisy,시끄러운
encourage,격려하다
useless,쓸모없는
fresh,신선한
art,미술
coast,해안
pond,연못
police officer,경찰관
science,과학
excited,신난
minute,분
famous,유명한
embarrassed,당황한
cafeteria,급식실
baking,빵 굽기
brave,용감한
airport,공항
shy,수줍은
decide,결정하다
judge,판사
fire truck,소방차
enter,들어가다
scientist,과학자
grandparent,조부모
kind,친절한
subway,지하철
surfing,서핑
tunnel,터널
niece,조카(여)
worried,걱정하는
history,역사
tower,탑
test,시험
March,3월
island,섬
path,길
discuss,의논하다
photographer,사진작가
number,숫자
classmate,반친구
foggy,안개낀
continue,계속하다
actor,배우(남)
meadow,초원
February,2월
wonderful,멋진
ambulance,구급차
running,달리기
bee,벌
dancing,춤추기
nephew,조카(남)
practice,연습하다
journalist,기자
doubt,의심하다
cave,동굴
recipe,조리법
imagine,상상하다
