good,좋은
panda,판다
chicken,닭
spring,봄
play,놀다
seventeen,열일곱
ice cream,아이스크림
river,강
rice,밥/쌀
new,새로운
water,물
neck,목
hand,손
zoo,동물원
restaurant,식당
dance,춤추다
bear,곰
blocks,블록
drink,마시다
hot,더운
tomorrow,내일
horse,말
bread,빵
coat,코트
today,오늘
brother,형/오빠/남동생
banana,바나나
eat,먹다
no,아니요
scissors,가위
cake,케이크
cup,컵
cold,추운
bed,침대
lion,사자
morning,아침
sad,슬픈
tiger,호랑이
classroom,교실
twelve,열둘
notebook,공책
hamburger,햄버거
sandwich,샌드위치
small,작은
market,시장
catch,잡다
weak,약한
ball,공
climb,오르다
star,별
student,학생
snow,눈
week,주
day,날/하루
toy car,장난감 자동차
ruler,자
on,위에
phone,전화기
swim,수영하다
bike,자전거
year,해/년
park,공원
ok,좋아/알았어
beach,해변
jump,뛰다
whale,고래
balloon,풍선
black,검은색
cookie,쿠키
meat,고기
goodbye,잘 가
pencil,연필
fly,날다
Saturday,토요일
snake,뱀
shoulder,어깨
month,달/월
cheese,치즈
head,머리
jam,잼
eleven,열하나
ear,귀
nine,아홉
up,위로
draw,그리다
bird,새
eye,눈
robot,로봇
elephant,코끼리
candy,사탕
sorry,미안해
eight,여덟
moon,달
angry,화난
wash,씻다
fast,빠른
strong,힘센
grass,잔디
two,둘
name,이름
talk,말하다
summer,여름
shoes,신발
when,언제
I,나
tree,나무
hello,안녕(만났을 때)
lamp,램프
you,너
monkey,원숭이
one,하나
owl,부엉이
father,아버지
library,도서관
fish,물고기
dad,아빠
puzzle,퍼즐
socks,양말
yesterday,어제
we,우리
thin,마른
foot,발
tooth,이
hi,안녕
arm,팔
slow,느린
six,여섯
giraffe,기린
pants,바지
cook,요리하다
desk,책상
clean,깨끗한
easy,쉬운
long,긴
open,열다
box,상자
gloves,장갑
cloud,구름
pizza,피자
big,큰
aunt,이모/고모
baby,아기
soup,수프
look,보다
brown,갈색
hat,모자
old,오래된
under,아래에
who,누구
chocolate,초콜릿
please,제발/부탁해
winter,겨울
leg,다리
close,닫다
TV,텔레비전
spoon,숟가락
dolphin,돌고래
left,왼쪽
go,가다
fourteen,열넷
scarf,목도리
fat,뚱뚱한
store,가게
grandmother,할머니
kite,연
night,밤
read,읽다
frog,개구리
thirteen,열셋
three,셋
mountain,산
sixteen,열여섯
zebra,얼룩말
rock,바위
grape,포도
cute,귀여운
Monday,월요일
sky,하늘
help,돕다
mouse,쥐
duck,오리
in,안에
ten,열
juice,주스
crayon,크레용
right,오른쪽
uncle,삼촌
computer,컴퓨터
garden,정원
chalk,분필
mom,엄마
hamster,햄스터
mouth,입
Sunday,일요일
nose,코
twenty,스물
afternoon,오후
glue,풀
apple,사과
five,다섯
dress,원피스
listen,듣다
evening,저녁
bag,가방
sleep,자다
short,짧은
blue,파란색
eraser,지우개
wind,바람
pig,돼지
next,다음/옆
watermelon,수박
sit,앉다
school,학교
fox,여우
board,칠판
hospital,병원
clock,시계
green,초록색
deer,사슴
sister,누나/언니/여동생
sing,노래하다
salad,샐러드
down,아래로
eighteen,열여덟
fall,가을
shirt,셔츠
playground,운동장
back,뒤
dirty,더러운
hair,머리카락
ride,타다
paper,종이
family,가족
boots,부츠
how,어떻게
Thursday,목요일
doll,인형
orange,주황색
he,그
red,빨간색
cow,소
kangaroo,캥거루
tall,키가 큰
gray,회색
why,왜
thanks,고마워
white,흰색
front,앞
teacher,선생님
chair,의자
gold,금색
purple,보라색
Friday,금요일
mother,어머니
grandfather,할아버지
seven,일곱
rabbit,토끼
where,어디
skirt,치마
strawberry,딸기
yellow,노란색
pink,분홍색
throw,던지다
sheep,양
what,무엇
walk,걷다
run,달리다
tummy,배
she,그녀
rain,비
peach,복숭아
dog,개
egg,달걀
turtle,거북이
they,그들
book,책
pretty,예쁜
write,쓰다
plate,접시
milk,우유
finger,손가락
four,넷
yes,네
happy,행복한
Tuesday,화요일
jacket,재킷
stand,서다
cat,고양이
friend,친구
come,오다
bad,나쁜
sea,바다
nineteen,열아홉
sun,해
flower,꽃
fifteen,열다섯
Wednesday,수요일
bye,안녕(헤어질 때)
home,집
