good,좋은
panda,판다
chicken,닭
spring,봄
play,놀다
seventeen,열일곱
ice cream,아이스크림
river,강
rice,밥/쌀
new,새로운
water,물
neck,목
hand,손
zoo,동물원
restaurant,식당
dance,춤추다
bear,곰
blocks,블록
drink,마시다
hot,더운
tomorrow,내일
horse,말
bread,빵
coat,코트
today,오늘
brother,형/오빠/남동생
banana,바나나
eat,먹다
no,아니요
scissors,가위
cake,케이크
cup,컵
cold,추운
bed,침대
lion,사자
morning,아침
sad,슬픈
tiger,호랑이
classroom,교실
twelve,열둘
notebook,공책
hamburger,햄버거
sandwich,샌드위치
small,작은
market,시장
catch,잡다
weak,약한
ball,공
climb,오르다
star,별
student,학생
snow,눈
week,주
day,날/하루
toy car,장난감 자동차
ruler,자
on,위에
phone,전화기
swim,수영하다
bike,자전거
year,해/년
park,공원
ok,좋아/알았어
beach,해변
jump,뛰다
whale,고래
balloon,풍선
black,검은색
cookie,쿠키
meat,고기
goodbye,잘 가
pencil,연필
fly,날다
Saturday,토요일
snake,뱀
shoulder,어깨
month,달/월
cheese,치즈
head,머리
jam,잼
eleven,열하나
ear,귀
nine,아홉
up,위로
draw,그리다
bird,새
eye,눈
robot,로봇
elephant,코끼리
candy,사탕
