surfing,서핑
difficult,어려운
cliff,절벽
boxing,권투
December,12월
hiking,등산
desert,사막
useful,유용한
truck,트럭
kind,친절한
painter,화가
tunnel,터널
boil,끓이다
worried,걱정하는
painting,그림 그리기
salty,짠
invite,초대하다
careless,부주의한
police officer,경찰관
mix,섞다
bitter,쓴
protect,보호하다
scientist,과학자
astronaut,우주비행사
tennis,테니스
soldier,군인
bee,벌
wish,소망하다
lend,빌려주다
locker,사물함
theater,극장
useless,쓸모없는
taxi,택시
nervous,긴장한
Korean,국어
sweet,달콤한
cycling,자전거타기
rocket,로켓
singing,노래하기
earthquake,지진
surprised,놀란
dentist,치과의사
March,3월
pilot,조종사
golf,골프
humid,습한
number,숫자
singer,가수
scared,무서워하는
embarrassed,당황한
partner,짝
frozen,냉동된
recipe,조리법
science,과학
October,10월
second,초
vet,수의사
jungle,정글
doubt,의심하다
boat,보트
agree,동의하다
dancing,춤추기
volleyball,배구
August,8월
proud,자랑스러운
enter,들어가다
grow,자라다
firefighter,소방관
invent,발명하다
gym,체육관
encourage,격려하다
harbor,항구
foggy,안개낀
warn,경고하다
plus,더하기
homework,숙제
January,1월
solve,풀다
September,9월
introduce,소개하다
begin,시작하다
noisy,시끄러운
describe,묘사하다
hockey,하키
bake,굽다
relieved,안도하는
motorcycle,오토바이
careful,조심스러운
famous,유명한
toy store,장난감 가게
baking,빵 굽기
gymnastics,체조
rectangle,직사각형
o'clock,정각
collect,모으다
wonder,궁금해하다
July,7월
subject,과목
suggest,제안하다
principal,교장선생님
planet,행성
excited,신난
promise,약속하다
dancer,무용수
librarian,사서
sunny,화창한
shy,수줍은
church,교회
arrange,배열하다
discuss,의논하다
writer,작가
branch,나뭇가지
post office,우체국
guard,경비원
uniform,교복
test,시험
engineer,기술자
farm,농장
bridge,다리(건축물)
diamond,다이아몬드 모양
build,짓다
bicycle,자전거
city hall,시청
prepare,준비하다
photographer,사진작가
ambulance,구급차
plan,계획하다
classmate,반친구
important,중요한
sour,신
subway,지하철
athlete,운동선수
April,4월
insect,곤충
May,5월
warm,따뜻한
curious,궁금한
honest,정직한
museum,박물관
journalist,기자
designer,디자이너
music,음악
trust,믿다
textbook,교과서
collecting,수집하기
station,역
plant,식물
farmer,농부
schedule,시간표
driver,운전사
