surfing,서핑
difficult,어려운
cliff,절벽
boxing,권투
December,12월
hiking,등산
desert,사막
useful,유용한
truck,트럭
kind,친절한
painter,화가
tunnel,터널
boil,끓이다
worried,걱정하는
painting,그림 그리기
salty,짠
invite,초대하다
careless,부주의한
police officer,경찰관
mix,섞다
bitter,쓴
protect,보호하다
scientist,과학자
astronaut,우주비행사
tennis,테니스
soldier,군인
bee,벌
wish,소망하다
lend,빌려주다
locker,사물함
theater,극장
useless,쓸모없는
taxi,택시
nervous,긴장한
Korean,국어
sweet,달콤한
cycling,자전거타기
rocket,로켓
singing,노래하기
earthquake,지진
surprised,놀란
dentist,치과의사
March,3월
pilot,조종사
golf,골프
humid,습한
number,숫자
singer,가수
scared,무서워하는
embarrassed,당황한
partner,짝
frozen,냉동된
recipe,조리법
science,과학
October,10월
second,초
vet,수의사
jungle,정글
doubt,의심하다
boat,보트
agree,동의하다
dancing,춤추기
volleyball,배구
August,8월
proud,자랑스러운
enter,들어가다
grow,자라다
firefighter,소방관
invent,발명하다
gym,체육관
encourage,격려하다
harbor,항구
foggy,안개낀
warn,경고하다
plus,더하기
homework,숙제
January,1월
solve,풀다
September,9월
introduce,소개하다
begin,시작하다
noisy,시끄러운
describe,묘사하다
hockey,하키
bake,굽다
relieved,안도하는
motorcycle,오토바이
careful,조심스러운
famous,유명한
toy store,장난감 가게
baking,빵 굽기
gymnastics,체조
rectangle,직사각형
o'clock,정각
collect,모으다
wonder,궁금해하다
July,7월
subject,과목
suggest,제안하다
principal,교장선생님
planet,행성
excited,신난
promise,약속하다
dancer,무용수
librarian,사서
sunny,화창한
shy,수줍은
church,교회
arrange,배열하다
discuss,의논하다
writer,작가
branch,나뭇가지
post office,우체국
guard,경비원
uniform,교복
test,시험
engineer,기술자
farm,농장
bridge,다리(건축물)
diamond,다이아몬드 모양
build,짓다
bicycle,자전거
city hall,시청
prepare,준비하다
photographer,사진작가
ambulance,구급차
plan,계획하다
classmate,반친구
important,중요한
sour,신
subway,지하철
athlete,운동선수
April,4월
insect,곤충
May,5월
warm,따뜻한
curious,궁금한
honest,정직한
museum,박물관
journalist,기자
designer,디자이너
music,음악
trust,믿다
textbook,교과서
collecting,수집하기
station,역
plant,식물
farmer,농부
schedule,시간표
driver,운전사
bus,버스
nurse,간호사
arrive,도착하다
organize,정리하다
borrow,빌리다
leave,떠나다
popular,인기있는
weigh,무게를 재다
cafeteria,급식실
uncomfortable,불편한
English,영어
disappointed,실망한
fry,튀기다
baker,제빵사
bored,지루한
fire truck,소방차
camping,캠핑
safe,안전한
valley,계곡
rainy,비오는
soccer,축구
taekwondo,태권도
repair,고치다
airport,공항
imagine,상상하다
lonely,외로운
oval,타원
spider,거미
cave,동굴
brave,용감한
seed,씨앗
tower,탑
equal,같은
similar,비슷한
waterfall,폭포
visit,방문하다
admire,감탄하다
factory,공장
submarine,잠수함
freezing,꽁꽁 언
choose,고르다
minute,분
dream,꿈꾸다
cloudy,흐린
practice,연습하다
compare,비교하다
bookstore,서점
butterfly,나비
skating,스케이트타기
windy,바람부는
math,수학
cool,시원한
lake,호수
comfortable,편안한
island,섬
jealous,질투하는
basketball,농구
finish,끝내다
drawing,그리기
swimming,수영
actress,배우(여)
hour,시간
June,6월
niece,조카(여)
square,정사각형
different,다른
snowy,눈오는
actor,배우(남)
create,만들다
triangle,삼각형
nephew,조카(남)
apologize,사과하다
discover,발견하다
complain,불평하다
November,11월
auditorium,강당
coast,해안
gardening,정원 가꾸기
ant,개미
temple,절
hallway,복도
neighbor,이웃
return,돌아오다/반납하다
train,기차
change,바꾸다
baseball,야구
forget,잊다
skiing,스키타기
expensive,비싼
quiet,조용한
participate,참가하다
ingredient,재료
cooking,요리하기
jogging,조깅
magician,마술사
guess,추측하다
spicy,매운
flavor,맛
lawyer,변호사
ship,배
path,길
doctor,의사
trail,오솔길
bakery,빵집
explain,설명하다
grandparent,조부모
root,뿌리
dangerous,위험한
holiday,휴일
swamp,늪
wonderful,멋진
respect,존중하다
cook,요리사
table tennis,탁구
meadow,초원
hope,바라다
stranger,낯선 사람
cousin,사촌
fresh,신선한
confused,혼란스러운
volcano,화산
disagree,반대하다
continue,계속하다
February,2월
circle,원
bank,은행
decide,결정하다
measure,측정하다
remember,기억하다
class,수업
special,특별한
forest,숲
semester,학기
leaf,잎
airplane,비행기
start,시작하다
minus,빼기
fishing,낚시
count,세다
exit,나가다
attend,참석하다
badminton,배드민턴
running,달리기
judge,판사
art,미술
cheap,싼
rude,무례한
polite,예의바른
history,역사
pond,연못
