surfing,서핑
difficult,어려운
cliff,절벽
boxing,권투
December,12월
hiking,등산
desert,사막
useful,유용한
truck,트럭
kind,친절한
painter,화가
tunnel,터널
boil,끓이다
worried,걱정하는
painting,그림 그리기
salty,짠
invite,초대하다
careless,부주의한
police officer,경찰관
mix,섞다
bitter,쓴
protect,보호하다
scientist,과학자
astronaut,우주비행사
tennis,테니스
soldier,군인
bee,벌
wish,소망하다
lend,빌려주다
locker,사물함
theater,극장
useless,쓸모없는
taxi,택시
nervous,긴장한
Korean,국어
sweet,달콤한
cycling,자전거타기
rocket,로켓
singing,노래하기
earthquake,지진
surprised,놀란
dentist,치과의사
March,3월
pilot,조종사
golf,골프
humid,습한
number,숫자
singer,가수
scared,무서워하는
embarrassed,당황한
partner,짝
frozen,냉동된
recipe,조리법
science,과학
October,10월
second,초
vet,수의사
jungle,정글
doubt,의심하다
boat,보트
agree,동의하다
dancing,춤추기
volleyball,배구
August,8월
proud,자랑스러운
enter,들어가다
grow,자라다
firefighter,소방관
invent,발명하다
gym,체육관
encourage,격려하다
harbor,항구
foggy,안개낀
warn,경고하다
plus,더하기
homework,숙제
January,1월
solve,풀다
September,9월
introduce,소개하다
begin,시작하다
noisy,시끄러운
describe,묘사하다
hockey,하키
bake,굽다
relieved,안도하는
motorcycle,오토바이
careful,조심스러운
famous,유명한
toy store,장난감 가게
