sacrifice,희생하다
standard,기준
skeleton,골격
viewpoint,견해
population,인구
formula,공식
physical,신체적인
tax,세금
oxygen,산소
rainforest,열대우림
ecosystem,생태계
organ,장기
necessary,필요한
glacier,빙하
observe,관찰하다
estimate,추정하다
struggle,애쓰다
participate,참여하다
traditional,전통적인
gas,기체
compare,비교하다
adapt,적응하다
editor,편집자
technician,기술자
politician,정치인
aspect,측면
responsibility,책임
atmosphere,대기
affect,영향을 미치다
contribute,기여하다
digital,디지털의
instead,대신에
delta,삼각주
evolution,진화
trade,무역
meanwhile,그 동안에
cooperate,협력하다
presentation,발표
besides,게다가
calculate,계산하다
longitude,경도
economy,경제
virtual,가상의
cause,원인이 되다
knowledge,지식
opportunity,기회
report,보고하다
species,종(생물)
reason,이유
argument,논쟁
humble,겸손한
element,요소
courage,용기
statistics,통계
factor,요인
government,정부
record,기록하다
opinion,의견
certainly,확실히
artificial,인공의
technology,기술
imagine,상상하다
curiosity,호기심
usually,보통
entrepreneur,사업가
globalization,세계화
analyze,분석하다
document,문서
experiment,실험
generally,일반적으로
perimeter,둘레
area,넓이
energy,에너지
investigate,조사하다
percentage,백분율
predict,예측하다
however,그러나
handle,다루다
otherwise,그렇지 않으면
law,법
volume,부피
reduce,줄이다
medicine,약
angle,각도
confident,자신감 있는
creativity,창의성
assumption,가정
battery,건전지
motivate,동기를 부여하다
infection,감염
therefore,그러므로
equation,방정식
valuable,귀중한
fail,실패하다
creative,창의적인
volunteer,자원봉사자
inspire,영감을 주다
chart,차트
geometry,기하학
immune,면역의
cooperation,협동
economist,경제학자
memory,기억
modest,겸손한
median,중앙값
pessimistic,비관적인
system,체계
curious,호기심 많은
questionnaire,설문지
gravity,중력
effort,노력
empower,힘을 실어주다
resolve,해결하다
vaccine,백신
structure,구조
suddenly,갑자기
finally,마침내
orbit,궤도
considerate,배려하는
tolerate,견디다
archipelago,군도
culture,문화
background,배경
conclusion,결론
overcome,극복하다
succeed,성공하다
patience,인내심
devote,헌신하다
persuade,설득하다
sincere,진실한
tolerant,관대한
evaluate,평가하다
official,공식적인
honesty,정직함
instruction,지시
imagination,상상력
diameter,지름
treatment,치료
freedom,자유
climate,기후
assignment,과제
temperature,온도
local,지역의
hygiene,위생
symptom,증상
tsunami,쓰나미
donate,기부하다
emotional,감정적인
social,사회적인
especially,특히
