sacrifice,희생하다
standard,기준
skeleton,골격
viewpoint,견해
population,인구
formula,공식
physical,신체적인
tax,세금
oxygen,산소
rainforest,열대우림
ecosystem,생태계
organ,장기
necessary,필요한
glacier,빙하
observe,관찰하다
estimate,추정하다
struggle,애쓰다
participate,참여하다
traditional,전통적인
gas,기체
compare,비교하다
adapt,적응하다
editor,편집자
technician,기술자
politician,정치인
aspect,측면
responsibility,책임
atmosphere,대기
affect,영향을 미치다
contribute,기여하다
digital,디지털의
instead,대신에
delta,삼각주
evolution,진화
trade,무역
meanwhile,그 동안에
cooperate,협력하다
presentation,발표
besides,게다가
calculate,계산하다
longitude,경도
economy,경제
virtual,가상의
cause,원인이 되다
knowledge,지식
opportunity,기회
report,보고하다
species,종(생물)
reason,이유
argument,논쟁
humble,겸손한
element,요소
courage,용기
statistics,통계
factor,요인
government,정부
record,기록하다
opinion,의견
certainly,확실히
artificial,인공의
technology,기술
imagine,상상하다
curiosity,호기심
usually,보통
entrepreneur,사업가
globalization,세계화
analyze,분석하다
document,문서
experiment,실험
generally,일반적으로
perimeter,둘레
area,넓이
energy,에너지
investigate,조사하다
percentage,백분율
predict,예측하다
however,그러나
handle,다루다
otherwise,그렇지 않으면
law,법
volume,부피
reduce,줄이다
medicine,약
angle,각도
confident,자신감 있는
creativity,창의성
assumption,가정
battery,건전지
motivate,동기를 부여하다
infection,감염
therefore,그러므로
equation,방정식
valuable,귀중한
fail,실패하다
creative,창의적인
volunteer,자원봉사자
inspire,영감을 주다
chart,차트
geometry,기하학
immune,면역의
cooperation,협동
economist,경제학자
memory,기억
modest,겸손한
median,중앙값
pessimistic,비관적인
system,체계
curious,호기심 많은
questionnaire,설문지
gravity,중력
effort,노력
empower,힘을 실어주다
resolve,해결하다
vaccine,백신
structure,구조
suddenly,갑자기
finally,마침내
orbit,궤도
considerate,배려하는
tolerate,견디다
archipelago,군도
culture,문화
background,배경
conclusion,결론
overcome,극복하다
succeed,성공하다
patience,인내심
devote,헌신하다
persuade,설득하다
sincere,진실한
tolerant,관대한
evaluate,평가하다
official,공식적인
honesty,정직함
instruction,지시
imagination,상상력
diameter,지름
treatment,치료
freedom,자유
climate,기후
assignment,과제
temperature,온도
local,지역의
hygiene,위생
symptom,증상
tsunami,쓰나미
donate,기부하다
emotional,감정적인
social,사회적인
especially,특히
argue,주장하다
fact,사실
endure,견뎌내다
nutrition,영양
efficient,효율적인
rule,규칙
diagram,도표
requirement,요구사항
electricity,전기
drought,가뭄
hurricane,허리케인
communicate,의사소통하다
translator,번역가
probability,확률
strive,노력하다
resource,자원
ancient,고대의
cope,대처하다
deadline,마감일
natural,자연의
vitamin,비타민
thoughtful,사려깊은
graph,그래프
inventor,발명가
cautious,신중한
peninsula,반도
magnet,자석
canyon,협곡
achieve,성취하다
hypothesis,가설
communication,의사소통
researcher,연구원
situation,상황
result,결과가 되다
circuit,회로
convince,설득하다
consultant,상담가
available,이용 가능한
create,창조하다
practical,실용적인
survey,설문조사
recovery,회복
probably,아마도
right,권리
citizen,시민
latitude,위도
analyst,분석가
modern,현대의
achievement,성취
reaction,반응
chemical,화학물질
average,평균
nation,국가
diplomat,외교관
negotiate,협상하다
agriculture,농업
actually,실제로
continent,대륙
improve,향상시키다
information,정보
stubborn,고집센
hemisphere,반구
liquid,액체
component,구성요소
although,비록 ~이지만
duty,의무
manage,관리하다
publisher,출판인
disease,질병
compromise,타협하다
perspective,관점
society,사회
solid,고체
theory,이론
reasonable,합리적인
criteria,기준(복수)
research,연구하다
sensitive,민감한
flood,홍수
global,전 세계적인
political,정치적인
plateau,고원
influence,영향을 주다
experience,경험
material,재료
industry,산업
savanna,사바나
ambitious,야심찬
project,과제/프로젝트
eventually,결국
matter,물질
fraction,분수
carbon,탄소
accomplish,이루다
procedure,절차
avalanche,눈사태
therapy,치료법
community,공동체
equator,적도
economic,경제적인
logical,논리적인
pursue,추구하다
environment,환경
mental,정신적인
election,선거
radius,반지름
confidence,자신감
arrogant,거만한
democracy,민주주의
pollution,오염
solution,해결책
context,맥락
adjust,조정하다
discover,발견하다
habitat,서식지
competition,경쟁
sequence,수열
standpoint,입장
summarize,요약하다
generous,너그러운
protein,단백질
wealth,부유함
force,힘
dedicate,바치다
interpreter,통역가
heritage,유산
responsible,책임감 있는
rational,이성적인
ratio,비율
challenge,도전
conclude,결론짓다
architect,건축가
prevent,예방하다
poverty,가난
tradition,전통
cultural,문화적인
certificate,증명서
muscle,근육
comfortable,편안한
decimal,소수
guideline,지침
process,과정
schedule,일정
evidence,증거
independence,독립
organize,조직하다
tundra,툰드라
precious,소중한
optimistic,낙관적인
determined,단호한
