sacrifice,희생하다
standard,기준
skeleton,골격
viewpoint,견해
population,인구
formula,공식
physical,신체적인
tax,세금
oxygen,산소
rainforest,열대우림
ecosystem,생태계
organ,장기
necessary,필요한
glacier,빙하
observe,관찰하다
estimate,추정하다
struggle,애쓰다
participate,참여하다
traditional,전통적인
gas,기체
compare,비교하다
adapt,적응하다
editor,편집자
technician,기술자
politician,정치인
aspect,측면
responsibility,책임
atmosphere,대기
affect,영향을 미치다
contribute,기여하다
digital,디지털의
instead,대신에
delta,삼각주
evolution,진화
trade,무역
meanwhile,그 동안에
cooperate,협력하다
presentation,발표
besides,게다가
calculate,계산하다
longitude,경도
economy,경제
virtual,가상의
cause,원인이 되다
knowledge,지식
opportunity,기회
report,보고하다
species,종(생물)
reason,이유
argument,논쟁
humble,겸손한
element,요소
courage,용기
statistics,통계
factor,요인
government,정부
record,기록하다
opinion,의견
certainly,확실히
artificial,인공의
technology,기술
imagine,상상하다
curiosity,호기심
usually,보통
entrepreneur,사업가
globalization,세계화
analyze,분석하다
document,문서
experiment,실험
generally,일반적으로
perimeter,둘레
area,넓이
energy,에너지
investigate,조사하다
percentage,백분율
predict,예측하다
however,그러나
handle,다루다
otherwise,그렇지 않으면
law,법
volume,부피
reduce,줄이다
medicine,약
angle,각도
confident,자신감 있는
creativity,창의성
assumption,가정
battery,건전지
motivate,동기를 부여하다
infection,감염
