avalanche,눈사태
deadline,마감일
process,과정
generally,일반적으로
arrogant,거만한
medicine,약
accomplish,이루다
cope,대처하다
estimate,추정하다
culture,문화
archipelago,군도
mental,정신적인
population,인구
democracy,민주주의
honesty,정직함
evaluate,평가하다
diagram,도표
fraction,분수
oxygen,산소
matter,물질
suddenly,갑자기
meanwhile,그 동안에
precious,소중한
effort,노력
industry,산업
agriculture,농업
hygiene,위생
ancient,고대의
investigate,조사하다
viewpoint,견해
schedule,일정
improve,향상시키다
rainforest,열대우림
solution,해결책
equator,적도
competition,경쟁
background,배경
theory,이론
symptom,증상
negotiate,협상하다
manage,관리하다
aspect,측면
cooperation,협동
radius,반지름
standard,기준
liquid,액체
practical,실용적인
instruction,지시
cooperate,협력하다
patience,인내심
continent,대륙
heritage,유산
circuit,회로
compare,비교하다
cause,원인이 되다
overcome,극복하다
rule,규칙
species,종(생물)
handle,다루다
rational,이성적인
immune,면역의
average,평균
creative,창의적인
assignment,과제
necessary,필요한
climate,기후
muscle,근육
economist,경제학자
opinion,의견
imagination,상상력
curiosity,호기심
strive,노력하다
official,공식적인
electricity,전기
ratio,비율
economic,경제적인
adjust,조정하다
information,정보
achieve,성취하다
requirement,요구사항
criteria,기준(복수)
translator,번역가
convince,설득하다
project,과제/프로젝트
otherwise,그렇지 않으면
glacier,빙하
plateau,고원
analyze,분석하다
community,공동체
diameter,지름
discover,발견하다
finally,마침내
probability,확률
pessimistic,비관적인
ecosystem,생태계
tax,세금
hemisphere,반구
technology,기술
cultural,문화적인
poverty,가난
society,사회
hypothesis,가설
latitude,위도
protein,단백질
graph,그래프
independence,독립
physical,신체적인
temperature,온도
thoughtful,사려깊은
record,기록하다
natural,자연의
inspire,영감을 주다
considerate,배려하는
comfortable,편안한
environment,환경
delta,삼각주
median,중앙값
ambitious,야심찬
tundra,툰드라
magnet,자석
curious,호기심 많은
fail,실패하다
artificial,인공의
diplomat,외교관
questionnaire,설문지
chart,차트
optimistic,낙관적인
presentation,발표
sequence,수열
instead,대신에
contribute,기여하다
chemical,화학물질
certainly,확실히
communicate,의사소통하다
situation,상황
decimal,소수
eventually,결국
certificate,증명서
challenge,도전
compromise,타협하다
efficient,효율적인
conclude,결론짓다
evolution,진화
imagine,상상하다
succeed,성공하다
achievement,성취
material,재료
freedom,자유
empower,힘을 실어주다
sincere,진실한
perspective,관점
politician,정치인
political,정치적인
statistics,통계
memory,기억
predict,예측하다
battery,건전지
area,넓이
economy,경제
argument,논쟁
force,힘
organize,조직하다
vaccine,백신
consultant,상담가
election,선거
persuade,설득하다
vitamin,비타민
interpreter,통역가
researcher,연구원
pursue,추구하다
canyon,협곡
inventor,발명가
formula,공식
besides,게다가
emotional,감정적인
trade,무역
modest,겸손한
however,그러나
tsunami,쓰나미
virtual,가상의
reduce,줄이다
component,구성요소
fact,사실
create,창조하다
modern,현대의
donate,기부하다
sensitive,민감한
humble,겸손한
although,비록 ~이지만
evidence,증거
conclusion,결론
calculate,계산하다
atmosphere,대기
digital,디지털의
guideline,지침
therefore,그러므로
resource,자원
usually,보통
duty,의무
publisher,출판인
drought,가뭄
carbon,탄소
logical,논리적인
cautious,신중한
adapt,적응하다
determined,단호한
longitude,경도
generous,너그러운
gravity,중력
creativity,창의성
system,체계
infection,감염
argue,주장하다
context,맥락
global,전 세계적인
communication,의사소통
solid,고체
confidence,자신감
savanna,사바나
probably,아마도
prevent,예방하다
standpoint,입장
globalization,세계화
participate,참여하다
entrepreneur,사업가
nation,국가
volunteer,자원봉사자
valuable,귀중한
recovery,회복
document,문서
tradition,전통
angle,각도
responsibility,책임
actually,실제로
stubborn,고집센
perimeter,둘레
disease,질병
experience,경험
experiment,실험
observe,관찰하다
organ,장기
tolerant,관대한
nutrition,영양
structure,구조
confident,자신감 있는
research,연구하다
volume,부피
citizen,시민
flood,홍수
responsible,책임감 있는
editor,편집자
procedure,절차
struggle,애쓰다
courage,용기
technician,기술자
analyst,분석가
element,요소
hurricane,허리케인
geometry,기하학
percentage,백분율
wealth,부유함
habitat,서식지
gas,기체
affect,영향을 미치다
summarize,요약하다
resolve,해결하다
equation,방정식
available,이용 가능한
devote,헌신하다
law,법
motivate,동기를 부여하다
social,사회적인
peninsula,반도
architect,건축가
government,정부
result,결과가 되다
influence,영향을 주다
reason,이유
tolerate,견디다
assumption,가정
energy,에너지
orbit,궤도
reasonable,합리적인
local,지역의
especially,특히
pollution,오염
treatment,치료
therapy,치료법
reaction,반응
endure,견뎌내다
factor,요인
opportunity,기회
dedicate,바치다
survey,설문조사
right,권리
traditional,전통적인
skeleton,골격
knowledge,지식
sacrifice,희생하다
report,보고하다
