panda,판다
school,학교
run,달리다
shirt,셔츠
new,새로운
kangaroo,캥거루
blue,파란색
go,가다
salad,샐러드
fly,날다
pig,돼지
baby,아기
you,너
hat,모자
computer,컴퓨터
book,책
fall,가을
board,칠판
old,오래된
star,별
jump,뛰다
rice,밥/쌀
when,언제
banana,바나나
up,위로
dolphin,돌고래
dress,원피스
crayon,크레용
apple,사과
plate,접시
snake,뱀
TV,텔레비전
they,그들
cake,케이크
week,주
hand,손
hospital,병원
twelve,열둘
write,쓰다
happy,행복한
fourteen,열넷
green,초록색
right,오른쪽
deer,사슴
black,검은색
six,여섯
monkey,원숭이
gloves,장갑
mouth,입
tooth,이
shoulder,어깨
grandfather,할아버지
horse,말
draw,그리다
uncle,삼촌
wash,씻다
river,강
coat,코트
eat,먹다
cold,추운
glue,풀
eighteen,열여덟
giraffe,기린
gray,회색
flower,꽃
spoon,숟가락
fish,물고기
chalk,분필
he,그
sorry,미안해
cloud,구름
frog,개구리
scarf,목도리
under,아래에
sister,누나/언니/여동생
eight,여덟
three,셋
tiger,호랑이
come,오다
teacher,선생님
white,흰색
meat,고기
Saturday,토요일
afternoon,오후
Tuesday,화요일
sandwich,샌드위치
hair,머리카락
front,앞
notebook,공책
robot,로봇
hamster,햄스터
goodbye,잘 가
read,읽다
please,제발/부탁해
four,넷
yesterday,어제
ice cream,아이스크림
drink,마시다
aunt,이모/고모
twenty,스물
sleep,자다
listen,듣다
dog,개
spring,봄
morning,아침
bread,빵
chocolate,초콜릿
Thursday,목요일
neck,목
summer,여름
boots,부츠
sing,노래하다
grandmother,할머니
short,짧은
back,뒤
mountain,산
family,가족
hot,더운
talk,말하다
socks,양말
park,공원
five,다섯
bed,침대
finger,손가락
month,달/월
clean,깨끗한
brown,갈색
purple,보라색
hamburger,햄버거
cup,컵
tree,나무
in,안에
mouse,쥐
today,오늘
winter,겨울
sad,슬픈
close,닫다
juice,주스
dad,아빠
restaurant,식당
fifteen,열다섯
brother,형/오빠/남동생
father,아버지
next,다음/옆
down,아래로
what,무엇
whale,고래
orange,주황색
one,하나
nose,코
why,왜
balloon,풍선
nineteen,열아홉
big,큰
walk,걷다
Monday,월요일
sun,해
ruler,자
slow,느린
good,좋은
sea,바다
grape,포도
I,나
catch,잡다
ten,열
she,그녀
eye,눈
climb,오르다
look,보다
library,도서관
two,둘
box,상자
bag,가방
night,밤
thirteen,열셋
student,학생
sit,앉다
home,집
skirt,치마
pants,바지
cook,요리하다
bear,곰
seventeen,열일곱
rain,비
classroom,교실
red,빨간색
small,작은
watermelon,수박
yes,네
mother,어머니
thanks,고마워
ride,타다
cat,고양이
arm,팔
phone,전화기
head,머리
wind,바람
on,위에
open,열다
rock,바위
turtle,거북이
puzzle,퍼즐
fox,여우
sixteen,열여섯
ear,귀
egg,달걀
strawberry,딸기
owl,부엉이
zebra,얼룩말
doll,인형
milk,우유
pencil,연필
cute,귀여운
easy,쉬운
fat,뚱뚱한
bad,나쁜
jam,잼
grass,잔디
tall,키가 큰
swim,수영하다
yellow,노란색
lamp,램프
throw,던지다
sheep,양
playground,운동장
pretty,예쁜
elephant,코끼리
foot,발
Wednesday,수요일
jacket,재킷
stand,서다
hello,안녕(만났을 때)
dirty,더러운
moon,달
year,해/년
we,우리
candy,사탕
Sunday,일요일
ok,좋아/알았어
day,날/하루
zoo,동물원
rabbit,토끼
weak,약한
mom,엄마
snow,눈
market,시장
chair,의자
how,어떻게
bird,새
soup,수프
friend,친구
kite,연
eleven,열하나
shoes,신발
leg,다리
angry,화난
where,어디
pizza,피자
long,긴
ball,공
paper,종이
thin,마른
garden,정원
fast,빠른
bike,자전거
duck,오리
Friday,금요일
pink,분홍색
no,아니요
blocks,블록
seven,일곱
eraser,지우개
cow,소
name,이름
gold,금색
scissors,가위
peach,복숭아
tomorrow,내일
toy car,장난감 자동차
left,왼쪽
who,누구
desk,책상
store,가게
chicken,닭
tummy,배
bye,안녕(헤어질 때)
strong,힘센
help,돕다
sky,하늘
dance,춤추다
cookie,쿠키
nine,아홉
evening,저녁
beach,해변
lion,사자
hi,안녕
cheese,치즈
play,놀다
clock,시계
water,물
