agree,동의하다
allow,허락하다
appear,나타나다
arrive,도착하다
avoid,피하다
believe,믿다
borrow,빌리다
break,깨다
bring,가져오다
build,짓다
care,돌보다
carry,나르다
catch,잡다
celebrate,축하하다
change,바꾸다
check,확인하다
choose,고르다
clean,청소하다
collect,모으다
compare,비교하다
complete,완성하다
continue,계속하다
control,조절하다
cover,덮다
create,만들다
cry,울다
decide,결정하다
deliver,배달하다
depend,의존하다
describe,묘사하다
active,활동적인
afraid,무서워하는
angry,화난
available,이용 가능한
aware,알고 있는
basic,기본적인
beautiful,아름다운
brave,용감한
bright,밝은
calm,차분한
careful,조심스러운
cheap,값싼
clear,분명한
clever,영리한
comfortable,편안한
common,흔한
confident,자신감 있는
curious,호기심 많은
dangerous,위험한
difficult,어려운
dry,건조한
easy,쉬운
empty,비어 있는
exact,정확한
excellent,훌륭한
exciting,신나는
expensive,비싼
familiar,익숙한
famous,유명한
fast,빠른
airport,공항
animal,동물
area,지역
article,기사
background,배경
bag,가방
ball,공
bank,은행
bridge,다리
business,사업
camera,카메라
campaign,캠페인
career,직업/경력
cell phone,휴대폰
century,세기
chance,기회
charge,요금
chart,도표
choice,선택
class,수업
climate,기후
clothes,옷
coast,해안
college,대학
community,공동체
company,회사
condition,상태
conversation,대화
cost,비용
culture,문화
decision,결정
degree,정도/학위
detail,세부사항
development,발전
difference,차이
direction,방향
distance,거리
education,교육
effect,영향
effort,노력
election,선거
emotion,감정
energy,에너지
environment,환경
equipment,장비
evidence,증거
example,예시
exercise,운동
experience,경험
expert,전문가
fact,사실
factor,요인
failure,실패
feature,특징
field,분야/들판
figure,수치/인물
focus,집중하다
food,음식
force,힘
freedom,자유
actually,실제로
again,다시
almost,거의
already,이미
although,비록 ~이지만
always,항상
among,~중에
another,또 다른
anyway,어쨌든
certainly,확실히
clearly,분명히
completely,완전히
especially,특히
eventually,결국
exactly,정확히
extremely,매우
finally,마침내
fortunately,다행히
generally,일반적으로
gradually,점차
hardly,거의 ~않다
immediately,즉시
mainly,주로
nearly,거의
obviously,분명히
particularly,특히
probably,아마도
quickly,빠르게
recently,최근에
usually,보통
