bye,안녕(헤어질 때)
morning,아침
banana,바나나
ride,타다
head,머리
paper,종이
listen,듣다
pretty,예쁜
up,위로
robot,로봇
strawberry,딸기
thirteen,열셋
ruler,자
sheep,양
week,주
sixteen,열여섯
wash,씻다
seven,일곱
blocks,블록
yellow,노란색
down,아래로
cute,귀여운
cake,케이크
what,무엇
gray,회색
peach,복숭아
nineteen,열아홉
deer,사슴
pig,돼지
library,도서관
kangaroo,캥거루
tall,키가 큰
apple,사과
park,공원
three,셋
orange,주황색
hand,손
help,돕다
go,가다
mouse,쥐
water,물
where,어디
weak,약한
bread,빵
cold,추운
we,우리
who,누구
hair,머리카락
candy,사탕
monkey,원숭이
bag,가방
afternoon,오후
sorry,미안해
rain,비
friend,친구
beach,해변
juice,주스
flower,꽃
left,왼쪽
yesterday,어제
mountain,산
tooth,이
grandfather,할아버지
month,달/월
Thursday,목요일
hospital,병원
hello,안녕(만났을 때)
eye,눈
you,너
Sunday,일요일
jam,잼
sing,노래하다
balloon,풍선
watermelon,수박
brown,갈색
pink,분홍색
Friday,금요일
box,상자
cup,컵
grandmother,할머니
pants,바지
name,이름
cheese,치즈
night,밤
zoo,동물원
cook,요리하다
next,다음/옆
grass,잔디
small,작은
panda,판다
