month,달/월
week,주
mother,어머니
zebra,얼룩말
brother,형/오빠/남동생
fast,빠른
sorry,미안해
dog,개
long,긴
notebook,공책
fourteen,열넷
dress,원피스
salad,샐러드
under,아래에
fly,날다
draw,그리다
grandfather,할아버지
milk,우유
pizza,피자
pink,분홍색
tall,키가 큰
strong,힘센
hamburger,햄버거
cheese,치즈
family,가족
scissors,가위
one,하나
hospital,병원
bread,빵
fat,뚱뚱한
who,누구
cup,컵
classroom,교실
rabbit,토끼
right,오른쪽
thirteen,열셋
nine,아홉
gray,회색
evening,저녁
home,집
watermelon,수박
head,머리
TV,텔레비전
leg,다리
yellow,노란색
how,어떻게
finger,손가락
glue,풀
jump,뛰다
river,강
pig,돼지
skirt,치마
spoon,숟가락
sixteen,열여섯
Friday,금요일
sky,하늘
elephant,코끼리
plate,접시
name,이름
brown,갈색
market,시장
they,그들
balloon,풍선
thin,마른
playground,운동장
short,짧은
twelve,열둘
beach,해변
bird,새
hello,안녕(만났을 때)
goodbye,잘 가
hi,안녕
drink,마시다
school,학교
thanks,고마워
cake,케이크
front,앞
why,왜
listen,듣다
arm,팔
snake,뱀
cookie,쿠키
chalk,분필
come,오다
talk,말하다
afternoon,오후
apple,사과
sandwich,샌드위치
turtle,거북이
foot,발
twenty,스물
eye,눈
Saturday,토요일
what,무엇
she,그녀
hair,머리카락
ball,공
tiger,호랑이
whale,고래
cold,추운
yesterday,어제
doll,인형
ok,좋아/알았어
eraser,지우개
left,왼쪽
Wednesday,수요일
nose,코
he,그
neck,목
clean,깨끗한
chicken,닭
gloves,장갑
dance,춤추다
eight,여덟
write,쓰다
gold,금색
back,뒤
duck,오리
shoulder,어깨
cute,귀여운
in,안에
giraffe,기린
baby,아기
crayon,크레용
sleep,자다
grape,포도
white,흰색
go,가다
frog,개구리
on,위에
banana,바나나
look,보다
next,다음/옆
dolphin,돌고래
shoes,신발
coat,코트
year,해/년
ruler,자
sit,앉다
happy,행복한
mouse,쥐
flower,꽃
eat,먹다
help,돕다
sea,바다
sad,슬픈
eleven,열하나
ice cream,아이스크림
tomorrow,내일
snow,눈
