neck,목
sit,앉다
soup,수프
short,짧은
down,아래로
ball,공
brown,갈색
ride,타다
peach,복숭아
zoo,동물원
banana,바나나
rock,바위
monkey,원숭이
dolphin,돌고래
boots,부츠
evening,저녁
strong,힘센
twenty,스물
apple,사과
blocks,블록
market,시장
mouth,입
computer,컴퓨터
flower,꽃
aunt,이모/고모
big,큰
pink,분홍색
bread,빵
family,가족
hospital,병원
teacher,선생님
eleven,열하나
cup,컵
fifteen,열다섯
grandfather,할아버지
store,가게
pig,돼지
deer,사슴
gray,회색
come,오다
lion,사자
balloon,풍선
turtle,거북이
month,달/월
duck,오리
yes,네
sister,누나/언니/여동생
uncle,삼촌
cold,추운
she,그녀
purple,보라색
drink,마시다
bird,새
morning,아침
why,왜
chalk,분필
sorry,미안해
dad,아빠
no,아니요
tooth,이
throw,던지다
good,좋은
classroom,교실
hat,모자
shirt,셔츠
frog,개구리
sleep,자다
how,어떻게
hi,안녕
fast,빠른
watermelon,수박
TV,텔레비전
cookie,쿠키
seventeen,열일곱
grandmother,할머니
wind,바람
we,우리
water,물
pretty,예쁜
robot,로봇
home,집
shoes,신발
sky,하늘
bike,자전거
day,날/하루
mother,어머니
wash,씻다
blue,파란색
sun,해
four,넷
whale,고래
strawberry,딸기
clock,시계
gloves,장갑
meat,고기
rice,밥/쌀
winter,겨울
socks,양말
toy car,장난감 자동차
milk,우유
hair,머리카락
rabbit,토끼
ear,귀
black,검은색
father,아버지
tall,키가 큰
I,나
glue,풀
phone,전화기
moon,달
next,다음/옆
week,주
ten,열
bear,곰
green,초록색
owl,부엉이
fish,물고기
clean,깨끗한
library,도서관
eat,먹다
go,가다
left,왼쪽
weak,약한
egg,달걀
fourteen,열넷
grass,잔디
slow,느린
hand,손
white,흰색
fall,가을
scarf,목도리
ice cream,아이스크림
eye,눈
play,놀다
close,닫다
six,여섯
seven,일곱
cow,소
dirty,더러운
jacket,재킷
dress,원피스
snow,눈
happy,행복한
elephant,코끼리
orange,주황색
eight,여덟
year,해/년
old,오래된
cat,고양이
easy,쉬운
afternoon,오후
beach,해변
hello,안녕(만났을 때)
swim,수영하다
candy,사탕
lamp,램프
jump,뛰다
help,돕다
brother,형/오빠/남동생
Tuesday,화요일
skirt,치마
head,머리
up,위로
under,아래에
night,밤
write,쓰다
chair,의자
cute,귀여운
five,다섯
leg,다리
Sunday,일요일
yesterday,어제
salad,샐러드
pizza,피자
juice,주스
who,누구
fat,뚱뚱한
eighteen,열여덟
draw,그리다
sixteen,열여섯
long,긴
zebra,얼룩말
nineteen,열아홉
Monday,월요일
ok,좋아/알았어
dance,춤추다
board,칠판
puzzle,퍼즐
park,공원
you,너
hamster,햄스터
spring,봄
giraffe,기린
hamburger,햄버거
angry,화난
talk,말하다
catch,잡다
book,책
coat,코트
cake,케이크
friend,친구
spoon,숟가락
thanks,고마워
on,위에
notebook,공책
mom,엄마
gold,금색
mountain,산
dog,개
stand,서다
river,강
box,상자
finger,손가락
summer,여름
doll,인형
when,언제
horse,말
sad,슬픈
baby,아기
shoulder,어깨
sandwich,샌드위치
panda,판다
walk,걷다
bad,나쁜
pants,바지
goodbye,잘 가
back,뒤
open,열다
sing,노래하다
tree,나무
in,안에
Friday,금요일
tiger,호랑이
climb,오르다
sheep,양
tummy,배
student,학생
front,앞
hot,더운
he,그
paper,종이
Thursday,목요일
name,이름
fox,여우
red,빨간색
right,오른쪽
they,그들
rain,비
Wednesday,수요일
thirteen,열셋
scissors,가위
arm,팔
two,둘
cheese,치즈
pencil,연필
ruler,자
nine,아홉
run,달리다
bag,가방
kangaroo,캥거루
plate,접시
bye,안녕(헤어질 때)
nose,코
fly,날다
jam,잼
desk,책상
snake,뱀
foot,발
grape,포도
cloud,구름
star,별
mouse,쥐
kite,연
chocolate,초콜릿
school,학교
yellow,노란색
listen,듣다
one,하나
please,제발/부탁해
three,셋
what,무엇
crayon,크레용
garden,정원
small,작은
tomorrow,내일
sea,바다
bed,침대
cook,요리하다
thin,마른
read,읽다
restaurant,식당
eraser,지우개
playground,운동장
new,새로운
twelve,열둘
chicken,닭
today,오늘
look,보다
where,어디
Saturday,토요일
