neck,목
sit,앉다
soup,수프
short,짧은
down,아래로
ball,공
brown,갈색
ride,타다
peach,복숭아
zoo,동물원
banana,바나나
rock,바위
monkey,원숭이
dolphin,돌고래
boots,부츠
evening,저녁
strong,힘센
twenty,스물
apple,사과
blocks,블록
market,시장
mouth,입
computer,컴퓨터
flower,꽃
aunt,이모/고모
big,큰
pink,분홍색
bread,빵
family,가족
hospital,병원
teacher,선생님
eleven,열하나
cup,컵
fifteen,열다섯
grandfather,할아버지
store,가게
pig,돼지
deer,사슴
gray,회색
come,오다
lion,사자
balloon,풍선
turtle,거북이
month,달/월
duck,오리
yes,네
sister,누나/언니/여동생
uncle,삼촌
cold,추운
she,그녀
purple,보라색
drink,마시다
bird,새
morning,아침
why,왜
chalk,분필
sorry,미안해
dad,아빠
no,아니요
tooth,이
throw,던지다
good,좋은
classroom,교실
hat,모자
shirt,셔츠
frog,개구리
sleep,자다
how,어떻게
hi,안녕
fast,빠른
watermelon,수박
TV,텔레비전
cookie,쿠키
seventeen,열일곱
grandmother,할머니
wind,바람
we,우리
water,물
pretty,예쁜
robot,로봇
home,집
shoes,신발
sky,하늘
bike,자전거
day,날/하루
mother,어머니
wash,씻다
blue,파란색
sun,해
four,넷
