October,10월
gymnastics,체조
diamond,다이아몬드 모양
forest,숲
remember,기억하다
want,원하다
begin,시작하다
invite,초대하다
schedule,시간표
hiking,등산
use,사용하다
auditorium,강당
brave,용감한
important,중요한
insect,곤충
temple,절
museum,박물관
bank,은행
August,8월
snowy,눈오는
minus,빼기
rainy,비오는
promise,약속하다
September,9월
writer,작가
fix,고치다
baker,제빵사
badminton,배드민턴
continue,계속하다
boat,보트
safe,안전한
touch,만지다
spicy,매운
forget,잊다
pilot,조종사
lawyer,변호사
hallway,복도
buy,사다
airplane,비행기
July,7월
motorcycle,오토바이
disagree,반대하다
difficult,어려운
dangerous,위험한
practice,연습하다
recipe,조리법
fry,튀기다
sour,신
similar,비슷한
camping,캠핑
different,다른
worried,걱정하는
doctor,의사
meadow,초원
basketball,농구
exit,나가다
cloudy,흐린
June,6월
honest,정직한
confused,혼란스러운
bus,버스
engineer,기술자
love,사랑하다
judge,판사
station,역
holiday,휴일
November,11월
sweet,달콤한
famous,유명한
ant,개미
fire truck,소방차
taekwondo,태권도
root,뿌리
actress,배우(여)
collect,모으다
need,필요하다
class,수업
uncomfortable,불편한
bored,지루한
post office,우체국
lake,호수
embarrassed,당황한
kind,친절한
photographer,사진작가
guard,경비원
history,역사
visit,방문하다
cliff,절벽
waterfall,폭포
shy,수줍은
bakery,빵집
niece,조카(여)
rude,무례한
running,달리기
ambulance,구급차
wear,입다
partner,짝
firefighter,소방관
plant,식물
golf,골프
hide,숨다
farm,농장
earthquake,지진
seed,씨앗
stranger,낯선 사람
scared,무서워하는
surprised,놀란
polite,예의바른
warm,따뜻한
plus,더하기
harbor,항구
curious,궁금한
nephew,조카(남)
fishing,낚시
hour,시간
bridge,다리(건축물)
designer,디자이너
pour,붓다
drawing,그리기
uniform,교복
excited,신난
factory,공장
grow,자라다
December,12월
oval,타원
bee,벌
planet,행성
actor,배우(남)
skating,스케이트타기
nurse,간호사
soccer,축구
painter,화가
church,교회
greet,인사하다
arrive,도착하다
dancer,무용수
subway,지하철
athlete,운동선수
Korean,국어
carry,나르다
scientist,과학자
protect,보호하다
explain,설명하다
equal,같은
change,바꾸다
lead,이끌다
volleyball,배구
taxi,택시
prepare,준비하다
cafeteria,급식실
second,초
branch,나뭇가지
locker,사물함
rocket,로켓
expensive,비싼
windy,바람부는
science,과학
valley,계곡
freezing,꽁꽁 언
bitter,쓴
noisy,시끄러운
fill,채우다
test,시험
square,정사각형
city hall,시청
theater,극장
gym,체육관
special,특별한
careless,부주의한
cheap,싼
soldier,군인
cook,요리사
vet,수의사
painting,그림 그리기
police officer,경찰관
find,찾다
airport,공항
rectangle,직사각형
ship,배
return,돌아오다/반납하다
popular,인기있는
English,영어
coast,해안
humid,습한
borrow,빌리다
push,밀다
journalist,기자
February,2월
repair,고치다
introduce,소개하다
number,숫자
April,4월
cut,자르다
spider,거미
o'clock,정각
pick,고르다/따다
jogging,조깅
tie,묶다
make,만들다
pond,연못
hockey,하키
textbook,교과서
farmer,농부
wonderful,멋진
librarian,사서
useful,유용한
astronaut,우주비행사
tennis,테니스
sunny,화창한
pull,당기다
cave,동굴
choose,고르다
classmate,반친구
semester,학기
proud,자랑스러운
nervous,긴장한
baseball,야구
take,가져가다
volcano,화산
truck,트럭
singing,노래하기
boil,끓이다
baking,빵 굽기
principal,교장선생님
give,주다
useless,쓸모없는
butterfly,나비
gardening,정원 가꾸기
singer,가수
agree,동의하다
grandparent,조부모
dancing,춤추기
homework,숙제
music,음악
May,5월
hold,잡다
mix,섞다
quiet,조용한
driver,운전사
bicycle,자전거
fresh,신선한
lend,빌려주다
dentist,치과의사
triangle,삼각형
surfing,서핑
share,나누다
bookstore,서점
tower,탑
lose,잃다
neighbor,이웃
jealous,질투하는
cousin,사촌
salty,짠
swimming,수영
enter,들어가다
March,3월
start,시작하다
table tennis,탁구
like,좋아하다
skiing,스키타기
train,기차
swamp,늪
sell,팔다
disappointed,실망한
magician,마술사
lonely,외로운
meet,만나다
circle,원
cool,시원한
follow,따라가다
January,1월
bake,굽다
toy store,장난감 가게
leaf,잎
subject,과목
jungle,정글
cycling,자전거타기
flavor,맛
ingredient,재료
build,짓다
island,섬
comfortable,편안한
submarine,잠수함
cooking,요리하기
path,길
decide,결정하다
desert,사막
art,미술
foggy,안개낀
tunnel,터널
trail,오솔길
relieved,안도하는
minute,분
careful,조심스러운
leave,떠나다
finish,끝내다
math,수학
frozen,냉동된
collecting,수집하기
boxing,권투
