seed,씨앗
fishing,낚시
farm,농장
bee,벌
basketball,농구
lead,이끌다
actor,배우(남)
salty,짠
firefighter,소방관
hour,시간
October,10월
brave,용감한
painter,화가
rainy,비오는
truck,트럭
leave,떠나다
temple,절
singer,가수
scientist,과학자
shy,수줍은
May,5월
useful,유용한
September,9월
kind,친절한
dancing,춤추기
cousin,사촌
holiday,휴일
soldier,군인
December,12월
surprised,놀란
taxi,택시
sell,팔다
forest,숲
factory,공장
collecting,수집하기
explain,설명하다
station,역
soccer,축구
subject,과목
curious,궁금한
decide,결정하다
different,다른
love,사랑하다
baseball,야구
begin,시작하다
auditorium,강당
fill,채우다
farmer,농부
trail,오솔길
push,밀다
exit,나가다
cliff,절벽
give,주다
actress,배우(여)
museum,박물관
judge,판사
locker,사물함
math,수학
April,4월
build,짓다
finish,끝내다
freezing,꽁꽁 언
rocket,로켓
doctor,의사
waterfall,폭포
city hall,시청
surfing,서핑
enter,들어가다
make,만들다
start,시작하다
earthquake,지진
bicycle,자전거
wonderful,멋진
partner,짝
vet,수의사
greet,인사하다
hallway,복도
hiking,등산
cafeteria,급식실
cooking,요리하기
guard,경비원
singing,노래하기
homework,숙제
ingredient,재료
square,정사각형
change,바꾸다
boxing,권투
science,과학
difficult,어려운
pick,고르다/따다
August,8월
careless,부주의한
uncomfortable,불편한
cloudy,흐린
warm,따뜻한
athlete,운동선수
librarian,사서
test,시험
path,길
bitter,쓴
church,교회
train,기차
visit,방문하다
branch,나뭇가지
share,나누다
diamond,다이아몬드 모양
sweet,달콤한
careful,조심스러운
gym,체육관
post office,우체국
swamp,늪
volcano,화산
confused,혼란스러운
motorcycle,오토바이
harbor,항구
niece,조카(여)
engineer,기술자
lake,호수
touch,만지다
choose,고르다
schedule,시간표
borrow,빌리다
recipe,조리법
bus,버스
second,초
flavor,맛
gardening,정원 가꾸기
November,11월
number,숫자
baker,제빵사
cool,시원한
use,사용하다
fix,고치다
neighbor,이웃
bank,은행
cycling,자전거타기
noisy,시끄러운
Korean,국어
fire truck,소방차
protect,보호하다
pond,연못
driver,운전사
magician,마술사
drawing,그리기
special,특별한
gymnastics,체조
jealous,질투하는
bored,지루한
quiet,조용한
uniform,교복
