eight,여덟
nineteen,열아홉
sorry,미안해
brown,갈색
cold,추운
five,다섯
close,닫다
mom,엄마
rice,밥/쌀
good,좋은
black,검은색
juice,주스
slow,느린
flower,꽃
when,언제
three,셋
cake,케이크
eat,먹다
snow,눈
mouse,쥐
elephant,코끼리
you,너
eighteen,열여덟
read,읽다
frog,개구리
walk,걷다
six,여섯
go,가다
no,아니요
hamster,햄스터
scarf,목도리
gray,회색
he,그
school,학교
spring,봄
restaurant,식당
chicken,닭
day,날/하루
two,둘
blocks,블록
who,누구
bed,침대
egg,달걀
Sunday,일요일
help,돕다
twelve,열둘
library,도서관
sky,하늘
chocolate,초콜릿
duck,오리
Tuesday,화요일
red,빨간색
we,우리
thirteen,열셋
store,가게
drink,마시다
where,어디
ice cream,아이스크림
ride,타다
hot,더운
fourteen,열넷
morning,아침
coat,코트
pants,바지
draw,그리다
meat,고기
milk,우유
panda,판다
lion,사자
zebra,얼룩말
bike,자전거
clean,깨끗한
thin,마른
dance,춤추다
tummy,배
crayon,크레용
stand,서다
uncle,삼촌
catch,잡다
listen,듣다
throw,던지다
bird,새
under,아래에
friend,친구
front,앞
mouth,입
sad,슬픈
chair,의자
four,넷
Wednesday,수요일
bag,가방
cloud,구름
long,긴
I,나
dad,아빠
fat,뚱뚱한
bread,빵
toy car,장난감 자동차
afternoon,오후
apple,사과
eye,눈
twenty,스물
down,아래로
cookie,쿠키
finger,손가락
baby,아기
goodbye,잘 가
playground,운동장
soup,수프
eleven,열하나
yesterday,어제
grandfather,할아버지
pencil,연필
open,열다
salad,샐러드
dolphin,돌고래
turtle,거북이
dirty,더러운
lamp,램프
green,초록색
moon,달
play,놀다
foot,발
hamburger,햄버거
student,학생
next,다음/옆
park,공원
robot,로봇
hair,머리카락
hat,모자
box,상자
pink,분홍색
scissors,가위
water,물
monkey,원숭이
bad,나쁜
blue,파란색
they,그들
gold,금색
weak,약한
year,해/년
short,짧은
leg,다리
pig,돼지
right,오른쪽
classroom,교실
kangaroo,캥거루
sixteen,열여섯
banana,바나나
head,머리
