no,아니요
wash,씻다
year,해/년
scissors,가위
eat,먹다
small,작은
blocks,블록
winter,겨울
dog,개
dirty,더러운
shirt,셔츠
kangaroo,캥거루
dress,원피스
chair,의자
plate,접시
bad,나쁜
who,누구
twelve,열둘
snow,눈
arm,팔
cheese,치즈
fast,빠른
fifteen,열다섯
hamster,햄스터
month,달/월
grass,잔디
catch,잡다
back,뒤
sixteen,열여섯
gloves,장갑
glue,풀
sleep,자다
evening,저녁
fourteen,열넷
teacher,선생님
front,앞
doll,인형
hat,모자
dolphin,돌고래
day,날/하루
shoulder,어깨
please,제발/부탁해
purple,보라색
fly,날다
ride,타다
close,닫다
brother,형/오빠/남동생
walk,걷다
bird,새
cloud,구름
mouse,쥐
week,주
thin,마른
friend,친구
goodbye,잘 가
sun,해
strong,힘센
uncle,삼촌
eight,여덟
fox,여우
Sunday,일요일
computer,컴퓨터
come,오다
grandfather,할아버지
crayon,크레용
thanks,고마워
cow,소
clean,깨끗한
leg,다리
skirt,치마
neck,목
hand,손
rabbit,토끼
kite,연
school,학교
paper,종이
cup,컵
coat,코트
good,좋은
cold,추운
look,보다
swim,수영하다
pink,분홍색
slow,느린
nineteen,열아홉
white,흰색
tree,나무
turtle,거북이
red,빨간색
yes,네
night,밤
sing,노래하다
when,언제
weak,약한
scarf,목도리
eye,눈
what,무엇
chocolate,초콜릿
why,왜
nine,아홉
right,오른쪽
beach,해변
wind,바람
deer,사슴
ruler,자
rain,비
short,짧은
cake,케이크
seven,일곱
angry,화난
hello,안녕(만났을 때)
he,그
how,어떻게
Monday,월요일
nose,코
ear,귀
happy,행복한
help,돕다
finger,손가락
home,집
bread,빵
star,별
TV,텔레비전
owl,부엉이
panda,판다
jump,뛰다
mouth,입
fall,가을
easy,쉬운
she,그녀
mom,엄마
board,칠판
ball,공
where,어디
six,여섯
grandmother,할머니
sheep,양
green,초록색
bye,안녕(헤어질 때)
sit,앉다
four,넷
one,하나
flower,꽃
listen,듣다
Saturday,토요일
sky,하늘
black,검은색
elephant,코끼리
eleven,열하나
fat,뚱뚱한
candy,사탕
we,우리
throw,던지다
down,아래로
under,아래에
jam,잼
hamburger,햄버거
family,가족
two,둘
you,너
milk,우유
drink,마시다
bag,가방
aunt,이모/고모
read,읽다
twenty,스물
rock,바위
peach,복숭아
zebra,얼룩말
climb,오르다
pizza,피자
store,가게
book,책
desk,책상
play,놀다
notebook,공책
juice,주스
chicken,닭
foot,발
boots,부츠
bear,곰
sad,슬픈
shoes,신발
market,시장
I,나
cat,고양이
left,왼쪽
up,위로
bike,자전거
Friday,금요일
cute,귀여운
stand,서다
sister,누나/언니/여동생
orange,주황색
meat,고기
yesterday,어제
Wednesday,수요일
today,오늘
jacket,재킷
snake,뱀
in,안에
student,학생
long,긴
hair,머리카락
talk,말하다
go,가다
bed,침대
socks,양말
playground,운동장
tall,키가 큰
spoon,숟가락
salad,샐러드
big,큰
giraffe,기린
next,다음/옆
ok,좋아/알았어
river,강
tiger,호랑이
lion,사자
tummy,배
egg,달걀
mountain,산
balloon,풍선
eighteen,열여덟
tomorrow,내일
new,새로운
seventeen,열일곱
write,쓰다
pants,바지
sorry,미안해
box,상자
hi,안녕
restaurant,식당
hospital,병원
rice,밥/쌀
cook,요리하다
horse,말
monkey,원숭이
cookie,쿠키
banana,바나나
yellow,노란색
brown,갈색
strawberry,딸기
tooth,이
afternoon,오후
gold,금색
dad,아빠
frog,개구리
zoo,동물원
blue,파란색
head,머리
name,이름
five,다섯
on,위에
father,아버지
gray,회색
run,달리다
classroom,교실
phone,전화기
watermelon,수박
baby,아기
water,물
spring,봄
sandwich,샌드위치
soup,수프
apple,사과
chalk,분필
pig,돼지
Tuesday,화요일
summer,여름
pencil,연필
ice cream,아이스크림
dance,춤추다
grape,포도
thirteen,열셋
whale,고래
pretty,예쁜
toy car,장난감 자동차
old,오래된
morning,아침
they,그들
clock,시계
open,열다
lamp,램프
Thursday,목요일
mother,어머니
moon,달
eraser,지우개
puzzle,퍼즐
garden,정원
robot,로봇
draw,그리다
duck,오리
fish,물고기
park,공원
ten,열
three,셋
hot,더운
sea,바다
library,도서관
