dog,개
wash,씻다
monkey,원숭이
run,달리다
tummy,배
ear,귀
you,너
pink,분홍색
park,공원
Friday,금요일
black,검은색
sing,노래하다
pretty,예쁜
spoon,숟가락
summer,여름
they,그들
gold,금색
five,다섯
eye,눈
brother,형/오빠/남동생
duck,오리
eleven,열하나
clock,시계
long,긴
front,앞
skirt,치마
friend,친구
help,돕다
balloon,풍선
sun,해
on,위에
chalk,분필
seven,일곱
sorry,미안해
shoes,신발
turtle,거북이
meat,고기
day,날/하루
snake,뱀
library,도서관
fly,날다
good,좋은
box,상자
chair,의자
mouse,쥐
he,그
up,위로
rice,밥/쌀
fifteen,열다섯
grandmother,할머니
teacher,선생님
grandfather,할아버지
cloud,구름
catch,잡다
how,어떻게
thin,마른
father,아버지
slow,느린
look,보다
sad,슬픈
angry,화난
bread,빵
big,큰
pig,돼지
twelve,열둘
puzzle,퍼즐
sea,바다
yesterday,어제
bike,자전거
grape,포도
sister,누나/언니/여동생
grass,잔디
white,흰색
tiger,호랑이
ice cream,아이스크림
doll,인형
next,다음/옆
bag,가방
mouth,입
playground,운동장
seventeen,열일곱
small,작은
go,가다
restaurant,식당
sheep,양
scarf,목도리
morning,아침
star,별
cat,고양이
gloves,장갑
Saturday,토요일
boots,부츠
close,닫다
school,학교
milk,우유
head,머리
ride,타다
eat,먹다
hamburger,햄버거
zoo,동물원
weak,약한
eraser,지우개
hospital,병원
in,안에
pencil,연필
blocks,블록
notebook,공책
uncle,삼촌
dance,춤추다
home,집
nose,코
paper,종이
winter,겨울
nine,아홉
glue,풀
cup,컵
panda,판다
draw,그리다
back,뒤
snow,눈
candy,사탕
hello,안녕(만났을 때)
salad,샐러드
shoulder,어깨
elephant,코끼리
rock,바위
flower,꽃
student,학생
baby,아기
foot,발
yellow,노란색
zebra,얼룩말
leg,다리
river,강
fat,뚱뚱한
red,빨간색
tree,나무
sandwich,샌드위치
sixteen,열여섯
plate,접시
six,여섯
crayon,크레용
scissors,가위
whale,고래
ten,열
hand,손
cookie,쿠키
cake,케이크
blue,파란색
tooth,이
