dog,개
wash,씻다
monkey,원숭이
run,달리다
tummy,배
ear,귀
you,너
pink,분홍색
park,공원
Friday,금요일
black,검은색
sing,노래하다
pretty,예쁜
spoon,숟가락
summer,여름
they,그들
gold,금색
five,다섯
eye,눈
brother,형/오빠/남동생
duck,오리
eleven,열하나
clock,시계
long,긴
front,앞
skirt,치마
friend,친구
help,돕다
balloon,풍선
sun,해
on,위에
chalk,분필
seven,일곱
sorry,미안해
shoes,신발
turtle,거북이
meat,고기
day,날/하루
snake,뱀
library,도서관
fly,날다
good,좋은
box,상자
chair,의자
mouse,쥐
he,그
up,위로
rice,밥/쌀
fifteen,열다섯
grandmother,할머니
teacher,선생님
grandfather,할아버지
cloud,구름
catch,잡다
how,어떻게
thin,마른
father,아버지
slow,느린
look,보다
sad,슬픈
angry,화난
bread,빵
big,큰
pig,돼지
twelve,열둘
puzzle,퍼즐
sea,바다
yesterday,어제
bike,자전거
grape,포도
sister,누나/언니/여동생
grass,잔디
white,흰색
tiger,호랑이
ice cream,아이스크림
doll,인형
next,다음/옆
bag,가방
mouth,입
playground,운동장
seventeen,열일곱
small,작은
go,가다
restaurant,식당
sheep,양
scarf,목도리
morning,아침
star,별
cat,고양이
gloves,장갑
Saturday,토요일
boots,부츠
close,닫다
school,학교
milk,우유
head,머리
ride,타다
eat,먹다
hamburger,햄버거
zoo,동물원
weak,약한
eraser,지우개
hospital,병원
in,안에
pencil,연필
blocks,블록
notebook,공책
uncle,삼촌
dance,춤추다
home,집
nose,코
paper,종이
winter,겨울
nine,아홉
glue,풀
cup,컵
panda,판다
draw,그리다
back,뒤
snow,눈
candy,사탕
hello,안녕(만났을 때)
salad,샐러드
shoulder,어깨
elephant,코끼리
rock,바위
flower,꽃
student,학생
baby,아기
foot,발
yellow,노란색
zebra,얼룩말
leg,다리
river,강
fat,뚱뚱한
red,빨간색
tree,나무
sandwich,샌드위치
sixteen,열여섯
plate,접시
six,여섯
crayon,크레용
scissors,가위
whale,고래
ten,열
hand,손
cookie,쿠키
cake,케이크
blue,파란색
tooth,이
dress,원피스
we,우리
sky,하늘
chocolate,초콜릿
bed,침대
yes,네
sit,앉다
shirt,셔츠
spring,봄
moon,달
family,가족
old,오래된
ball,공
fish,물고기
watermelon,수박
easy,쉬운
twenty,스물
down,아래로
egg,달걀
hair,머리카락
store,가게
right,오른쪽
strawberry,딸기
arm,팔
jump,뛰다
hamster,햄스터
Monday,월요일
month,달/월
week,주
hot,더운
market,시장
why,왜
name,이름
giraffe,기린
soup,수프
sleep,자다
open,열다
board,칠판
fox,여우
classroom,교실
book,책
eight,여덟
cute,귀여운
kite,연
stand,서다
tomorrow,내일
three,셋
rain,비
two,둘
bad,나쁜
fourteen,열넷
cook,요리하다
chicken,닭
hat,모자
evening,저녁
walk,걷다
dad,아빠
banana,바나나
neck,목
write,쓰다
rabbit,토끼
owl,부엉이
socks,양말
Sunday,일요일
come,오다
lion,사자
she,그녀
eighteen,열여덟
where,어디
ok,좋아/알았어
climb,오르다
new,새로운
phone,전화기
purple,보라색
no,아니요
throw,던지다
cheese,치즈
please,제발/부탁해
today,오늘
lamp,램프
who,누구
fall,가을
afternoon,오후
bye,안녕(헤어질 때)
thirteen,열셋
I,나
mountain,산
ruler,자
computer,컴퓨터
one,하나
brown,갈색
robot,로봇
night,밤
deer,사슴
listen,듣다
talk,말하다
Wednesday,수요일
Tuesday,화요일
cold,추운
what,무엇
toy car,장난감 자동차
jacket,재킷
dolphin,돌고래
goodbye,잘 가
bird,새
under,아래에
water,물
jam,잼
aunt,이모/고모
frog,개구리
year,해/년
wind,바람
coat,코트
swim,수영하다
mom,엄마
when,언제
bear,곰
finger,손가락
four,넷
play,놀다
beach,해변
short,짧은
left,왼쪽
kangaroo,캥거루
juice,주스
Thursday,목요일
read,읽다
green,초록색
strong,힘센
horse,말
happy,행복한
pizza,피자
tall,키가 큰
TV,텔레비전
desk,책상
cow,소
garden,정원
orange,주황색
fast,빠른
hi,안녕
apple,사과
peach,복숭아
drink,마시다
pants,바지
thanks,고마워
dirty,더러운
nineteen,열아홉
gray,회색
mother,어머니
clean,깨끗한
