badminton,배드민턴
surprised,놀란
singing,노래하기
bee,벌
February,2월
wear,입다
skiing,스키타기
minus,빼기
fishing,낚시
disagree,반대하다
scared,무서워하는
factory,공장
swamp,늪
rocket,로켓
librarian,사서
spicy,매운
ingredient,재료
flavor,맛
auditorium,강당
engineer,기술자
locker,사물함
volcano,화산
uniform,교복
greet,인사하다
stranger,낯선 사람
textbook,교과서
pond,연못
dancer,무용수
give,주다
writer,작가
kind,친절한
path,길
prepare,준비하다
cafeteria,급식실
carry,나르다
bored,지루한
proud,자랑스러운
harbor,항구
gardening,정원 가꾸기
skating,스케이트타기
farmer,농부
fix,고치다
rainy,비오는
airport,공항
airplane,비행기
leaf,잎
return,돌아오다/반납하다
submarine,잠수함
meet,만나다
arrive,도착하다
hockey,하키
plus,더하기
police officer,경찰관
bank,은행
hide,숨다
camping,캠핑
freezing,꽁꽁 언
branch,나뭇가지
homework,숙제
push,밀다
invite,초대하다
special,특별한
neighbor,이웃
train,기차
truck,트럭
semester,학기
temple,절
change,바꾸다
November,11월
find,찾다
cook,요리사
agree,동의하다
bitter,쓴
explain,설명하다
niece,조카(여)
hallway,복도
take,가져가다
taekwondo,태권도
important,중요한
buy,사다
protect,보호하다
jealous,질투하는
want,원하다
baking,빵 굽기
table tennis,탁구
salty,짠
famous,유명한
baker,제빵사
April,4월
jogging,조깅
city hall,시청
July,7월
make,만들다
astronaut,우주비행사
finish,끝내다
careful,조심스러운
nurse,간호사
embarrassed,당황한
dentist,치과의사
tennis,테니스
lead,이끌다
magician,마술사
partner,짝
dancing,춤추기
decide,결정하다
firefighter,소방관
useless,쓸모없는
bridge,다리(건축물)
lawyer,변호사
touch,만지다
lake,호수
dangerous,위험한
cave,동굴
popular,인기있는
post office,우체국
continue,계속하다
island,섬
collecting,수집하기
lend,빌려주다
January,1월
minute,분
May,5월
butterfly,나비
farm,농장
cooking,요리하기
hour,시간
photographer,사진작가
comfortable,편안한
forget,잊다
bakery,빵집
uncomfortable,불편한
athlete,운동선수
grow,자라다
actress,배우(여)
holiday,휴일
leave,떠나다
quiet,조용한
museum,박물관
boil,끓이다
baseball,야구
seed,씨앗
honest,정직한
Korean,국어
science,과학
worried,걱정하는
swimming,수영
schedule,시간표
bicycle,자전거
lose,잃다
need,필요하다
triangle,삼각형
oval,타원
pour,붓다
nephew,조카(남)
pick,고르다/따다
cool,시원한
hold,잡다
lonely,외로운
safe,안전한
soccer,축구
designer,디자이너
foggy,안개낀
hiking,등산
polite,예의바른
earthquake,지진
golf,골프
subject,과목
soldier,군인
actor,배우(남)
cut,자르다
rectangle,직사각형
similar,비슷한
vet,수의사
drawing,그리기
nervous,긴장한
insect,곤충
singer,가수
math,수학
exit,나가다
cloudy,흐린
gymnastics,체조
pull,당기다
sell,팔다
journalist,기자
bookstore,서점
waterfall,폭포
humid,습한
sweet,달콤한
use,사용하다
ant,개미
December,12월
planet,행성
remember,기억하다
frozen,냉동된
gym,체육관
introduce,소개하다
music,음악
plant,식물
repair,고치다
number,숫자
mix,섞다
boat,보트
noisy,시끄러운
grandparent,조부모
volleyball,배구
church,교회
boxing,권투
love,사랑하다
warm,따뜻한
borrow,빌리다
test,시험
tie,묶다
build,짓다
guard,경비원
like,좋아하다
tower,탑
share,나누다
trail,오솔길
spider,거미
sour,신
o'clock,정각
running,달리기
fire truck,소방차
motorcycle,오토바이
classmate,반친구
fill,채우다
cliff,절벽
meadow,초원
ship,배
root,뿌리
subway,지하철
toy store,장난감 가게
careless,부주의한
October,10월
useful,유용한
different,다른
painting,그림 그리기
sunny,화창한
diamond,다이아몬드 모양
desert,사막
relieved,안도하는
recipe,조리법
cousin,사촌
brave,용감한
equal,같은
practice,연습하다
choose,고르다
class,수업
promise,약속하다
coast,해안
station,역
pilot,조종사
expensive,비싼
English,영어
square,정사각형
ambulance,구급차
shy,수줍은
art,미술
March,3월
forest,숲
start,시작하다
tunnel,터널
excited,신난
cycling,자전거타기
judge,판사
visit,방문하다
bake,굽다
disappointed,실망한
second,초
begin,시작하다
valley,계곡
collect,모으다
history,역사
surfing,서핑
snowy,눈오는
bus,버스
circle,원
rude,무례한
fresh,신선한
windy,바람부는
confused,혼란스러운
enter,들어가다
painter,화가
cheap,싼
wonderful,멋진
June,6월
doctor,의사
jungle,정글
driver,운전사
scientist,과학자
September,9월
principal,교장선생님
basketball,농구
fry,튀기다
follow,따라가다
difficult,어려운
curious,궁금한
taxi,택시
August,8월
theater,극장
