beach,해변
apple,사과
they,그들
where,어디
wind,바람
desk,책상
chair,의자
ok,좋아/알았어
hair,머리카락
sheep,양
how,어떻게
cup,컵
Sunday,일요일
zoo,동물원
slow,느린
dolphin,돌고래
cake,케이크
rabbit,토끼
shoulder,어깨
cheese,치즈
puzzle,퍼즐
today,오늘
computer,컴퓨터
hello,안녕(만났을 때)
afternoon,오후
read,읽다
Tuesday,화요일
sun,해
thanks,고마워
zebra,얼룩말
black,검은색
stand,서다
short,짧은
catch,잡다
tooth,이
brother,형/오빠/남동생
sit,앉다
easy,쉬운
eighteen,열여덟
seventeen,열일곱
ball,공
fall,가을
paper,종이
chicken,닭
cloud,구름
fast,빠른
sad,슬픈
run,달리다
strong,힘센
dance,춤추다
fox,여우
look,보다
thirteen,열셋
play,놀다
cold,추운
old,오래된
six,여섯
please,제발/부탁해
dress,원피스
tall,키가 큰
sleep,자다
cat,고양이
doll,인형
Monday,월요일
week,주
left,왼쪽
monkey,원숭이
strawberry,딸기
aunt,이모/고모
wash,씻다
bread,빵
draw,그리다
crayon,크레용
uncle,삼촌
banana,바나나
peach,복숭아
coat,코트
socks,양말
hand,손
bad,나쁜
sing,노래하다
long,긴
nose,코
river,강
down,아래로
scarf,목도리
good,좋은
five,다섯
glue,풀
sixteen,열여섯
board,칠판
family,가족
grandfather,할아버지
fly,날다
kangaroo,캥거루
sister,누나/언니/여동생
park,공원
sea,바다
sky,하늘
when,언제
eat,먹다
sorry,미안해
frog,개구리
chocolate,초콜릿
mother,어머니
no,아니요
twenty,스물
jump,뛰다
orange,주황색
she,그녀
cook,요리하다
garden,정원
fish,물고기
fat,뚱뚱한
lion,사자
green,초록색
open,열다
TV,텔레비전
owl,부엉이
eleven,열하나
pizza,피자
leg,다리
horse,말
finger,손가락
drink,마시다
walk,걷다
day,날/하루
blue,파란색
four,넷
panda,판다
talk,말하다
ruler,자
bird,새
red,빨간색
bag,가방
student,학생
thin,마른
winter,겨울
milk,우유
market,시장
baby,아기
sandwich,샌드위치
spoon,숟가락
hi,안녕
foot,발
elephant,코끼리
arm,팔
blocks,블록
in,안에
meat,고기
who,누구
yellow,노란색
small,작은
gray,회색
tree,나무
ear,귀
you,너
hot,더운
month,달/월
grandmother,할머니
seven,일곱
tiger,호랑이
name,이름
fourteen,열넷
friend,친구
flower,꽃
hat,모자
lamp,램프
twelve,열둘
eraser,지우개
climb,오르다
fifteen,열다섯
Wednesday,수요일
chalk,분필
phone,전화기
cow,소
home,집
turtle,거북이
on,위에
Saturday,토요일
write,쓰다
deer,사슴
gold,금색
yesterday,어제
back,뒤
throw,던지다
listen,듣다
weak,약한
big,큰
neck,목
bye,안녕(헤어질 때)
white,흰색
cute,귀여운
rock,바위
why,왜
rain,비
pretty,예쁜
whale,고래
he,그
pig,돼지
tummy,배
close,닫다
we,우리
balloon,풍선
toy car,장난감 자동차
right,오른쪽
skirt,치마
front,앞
evening,저녁
bike,자전거
school,학교
grass,잔디
star,별
shirt,셔츠
kite,연
yes,네
I,나
store,가게
tomorrow,내일
one,하나
cookie,쿠키
night,밤
boots,부츠
clock,시계
help,돕다
bear,곰
mouth,입
morning,아침
happy,행복한
swim,수영하다
pencil,연필
eight,여덟
summer,여름
book,책
soup,수프
what,무엇
under,아래에
hospital,병원
angry,화난
egg,달걀
dad,아빠
hamster,햄스터
pants,바지
nineteen,열아홉
two,둘
eye,눈
juice,주스
jacket,재킷
snow,눈
ten,열
ice cream,아이스크림
water,물
year,해/년
playground,운동장
mountain,산
Thursday,목요일
dirty,더러운
snake,뱀
scissors,가위
restaurant,식당
teacher,선생님
mom,엄마
grape,포도
bed,침대
three,셋
giraffe,기린
goodbye,잘 가
gloves,장갑
hamburger,햄버거
new,새로운
nine,아홉
box,상자
come,오다
library,도서관
classroom,교실
ride,타다
robot,로봇
plate,접시
candy,사탕
purple,보라색
jam,잼
notebook,공책
duck,오리
Friday,금요일
shoes,신발
clean,깨끗한
salad,샐러드
pink,분홍색
up,위로
next,다음/옆
brown,갈색
moon,달
spring,봄
go,가다
watermelon,수박
dog,개
rice,밥/쌀
mouse,쥐
head,머리
father,아버지
