beach,해변
apple,사과
they,그들
where,어디
wind,바람
desk,책상
chair,의자
ok,좋아/알았어
hair,머리카락
sheep,양
how,어떻게
cup,컵
Sunday,일요일
zoo,동물원
slow,느린
dolphin,돌고래
cake,케이크
rabbit,토끼
shoulder,어깨
cheese,치즈
puzzle,퍼즐
today,오늘
computer,컴퓨터
hello,안녕(만났을 때)
afternoon,오후
read,읽다
Tuesday,화요일
sun,해
thanks,고마워
zebra,얼룩말
black,검은색
stand,서다
short,짧은
catch,잡다
tooth,이
brother,형/오빠/남동생
sit,앉다
easy,쉬운
eighteen,열여덟
seventeen,열일곱
ball,공
fall,가을
paper,종이
chicken,닭
cloud,구름
fast,빠른
sad,슬픈
run,달리다
strong,힘센
dance,춤추다
fox,여우
look,보다
thirteen,열셋
play,놀다
cold,추운
old,오래된
six,여섯
please,제발/부탁해
dress,원피스
tall,키가 큰
sleep,자다
cat,고양이
doll,인형
Monday,월요일
week,주
left,왼쪽
monkey,원숭이
strawberry,딸기
aunt,이모/고모
wash,씻다
bread,빵
draw,그리다
crayon,크레용
uncle,삼촌
banana,바나나
peach,복숭아
coat,코트
socks,양말
hand,손
bad,나쁜
sing,노래하다
long,긴
nose,코
river,강
down,아래로
scarf,목도리
good,좋은
five,다섯
glue,풀
sixteen,열여섯
