phenomenon,현상
tendency,경향
consequence,결과
implication,함축/영향
significance,중요성
controversy,논란
dilemma,딜레마
paradox,역설
ambiguity,모호함
complexity,복잡성
inequality,불평등
discrimination,차별
prejudice,편견
injustice,불공정
hierarchy,계층
bureaucracy,관료제
ideology,이념
philosophy,철학
morality,도덕성
ethics,윤리
integrity,진실성
dignity,존엄성
legacy,유산
identity,정체성
autonomy,자율성
acquire,습득하다
obtain,얻다
accumulate,축적하다
distribute,분배하다
allocate,할당하다
prioritize,우선시하다
justify,정당화하다
rationalize,합리화하다
undermine,약화시키다
reinforce,강화하다
facilitate,촉진하다
hinder,방해하다
obstruct,막다
incorporate,포함하다
integrate,통합하다
differentiate,구별하다
categorize,분류하다
classify,분류하다
correlate,상관관계가 있다
coincide,일치하다
contradict,모순되다
correspond,일치하다
coordinate,조정하다
collaborate,협력하다
compensate,보상하다
substitute,대체하다
eliminate,제거하다
exclude,제외하다
derive,유래하다
expose,노출시키다
profound,심오한
subtle,미묘한
ambiguous,모호한
arbitrary,임의적인
coherent,일관성 있는
consistent,일관된
inevitable,불가피한
plausible,그럴듯한
legitimate,합법적인
controversial,논란이 많은
sophisticated,정교한
elaborate,정교한
comprehensive,포괄적인
explicit,명시적인
implicit,암묵적인
inherent,내재된
intrinsic,본질적인
extrinsic,외적인
versatile,다재다능한
adaptable,적응력 있는
vulnerable,취약한
resilient,회복력 있는
redundant,불필요한
superficial,피상적인
substantial,상당한
marginal,미미한
dominant,지배적인
subordinate,종속적인
credible,믿을 만한
skeptical,회의적인
capitalism,자본주의
socialism,사회주의
diplomacy,외교
sovereignty,주권
legislation,입법
regulation,규제
jurisdiction,관할권
constitution,헌법
referendum,국민투표
sanction,제재
tariff,관세
subsidy,보조금
inflation,인플레이션
recession,경기 침체
monopoly,독점
treaty,조약
alliance,동맹
coalition,연합
embargo,금수 조치
propaganda,선전
empirical,경험적인
theoretical,이론적인
quantitative,양적인
qualitative,질적인
correlation,상관관계
causation,인과관계
deduction,연역
induction,귀납
paradigm,패러다임
anomaly,이례적인 것
equilibrium,평형
momentum,운동량/추진력
velocity,속도
friction,마찰
catalyst,촉매
synthesis,종합
spectrum,스펙트럼
trajectory,궤적
threshold,한계점/문턱
parameter,매개변수
nevertheless,그럼에도 불구하고
nonetheless,그럼에도 불구하고
furthermore,게다가
moreover,더욱이
consequently,결과적으로
subsequently,그 후에
simultaneously,동시에
arguably,주장하건대
presumably,아마도
inevitably,불가피하게
ultimately,궁극적으로
predominantly,대부분
essentially,본질적으로
fundamentally,근본적으로
relatively,상대적으로
notion,개념
premise,전제
criterion,기준
rationale,근거
framework,틀
methodology,방법론
perspective,관점
assumption,가정
proposition,명제
attribute,속성
