math,수학
science,과학
art,미술
music,음악
English,영어
Korean,국어
history,역사
subject,과목
class,수업
homework,숙제
test,시험
textbook,교과서
doctor,의사
nurse,간호사
librarian,사서
police officer,경찰관
firefighter,소방관
farmer,농부
cook,요리사
singer,가수
dancer,무용수
painter,화가
writer,작가
driver,운전사
pilot,조종사
scientist,과학자
engineer,기술자
dentist,치과의사
vet,수의사
baker,제빵사
designer,디자이너
photographer,사진작가
bank,은행
post office,우체국
station,역
airport,공항
bakery,빵집
bookstore,서점
toy store,장난감 가게
museum,박물관
theater,극장
church,교회
temple,절
city hall,시청
factory,공장
farm,농장
harbor,항구
bridge,다리(건축물)
tunnel,터널
tower,탑
bus,버스
train,기차
subway,지하철
airplane,비행기
ship,배
boat,보트
taxi,택시
truck,트럭
motorcycle,오토바이
bicycle,자전거
ambulance,구급차
fire truck,소방차
submarine,잠수함
rocket,로켓
drawing,그리기
painting,그림 그리기
singing,노래하기
dancing,춤추기
camping,캠핑
fishing,낚시
hiking,등산
cooking,요리하기
baking,빵 굽기
gardening,정원 가꾸기
collecting,수집하기
skating,스케이트타기
skiing,스키타기
surfing,서핑
jogging,조깅
cycling,자전거타기
soccer,축구
baseball,야구
basketball,농구
volleyball,배구
tennis,테니스
badminton,배드민턴
swimming,수영
running,달리기
boxing,권투
golf,골프
hockey,하키
table tennis,탁구
gymnastics,체조
taekwondo,태권도
sunny,화창한
cloudy,흐린
rainy,비오는
snowy,눈오는
windy,바람부는
foggy,안개낀
humid,습한
freezing,꽁꽁 언
warm,따뜻한
cool,시원한
January,1월
February,2월
March,3월
April,4월
May,5월
June,6월
July,7월
August,8월
September,9월
October,10월
November,11월
December,12월
o'clock,정각
minute,분
hour,시간
second,초
excited,신난
bored,지루한
surprised,놀란
worried,걱정하는
nervous,긴장한
embarrassed,당황한
proud,자랑스러운
jealous,질투하는
lonely,외로운
curious,궁금한
confused,혼란스러운
relieved,안도하는
disappointed,실망한
scared,무서워하는
brave,용감한
shy,수줍은
expensive,비싼
cheap,싼
difficult,어려운
dangerous,위험한
safe,안전한
famous,유명한
popular,인기있는
important,중요한
special,특별한
different,다른
similar,비슷한
careful,조심스러운
careless,부주의한
honest,정직한
