opinion,의견
reason,이유
effort,노력
experience,경험
environment,환경
technology,기술
culture,문화
tradition,전통
heritage,유산
independence,독립
freedom,자유
responsibility,책임
honesty,정직함
courage,용기
patience,인내심
confidence,자신감
curiosity,호기심
creativity,창의성
imagination,상상력
memory,기억
knowledge,지식
information,정보
communication,의사소통
cooperation,협동
competition,경쟁
achievement,성취
challenge,도전
opportunity,기회
solution,해결책
situation,상황
achieve,성취하다
discover,발견하다
create,창조하다
improve,향상시키다
compare,비교하다
predict,예측하다
imagine,상상하다
communicate,의사소통하다
participate,참여하다
organize,조직하다
analyze,분석하다
evaluate,평가하다
calculate,계산하다
estimate,추정하다
investigate,조사하다
research,연구하다
observe,관찰하다
record,기록하다
report,보고하다
summarize,요약하다
conclude,결론짓다
argue,주장하다
convince,설득하다
persuade,설득하다
influence,영향을 주다
affect,영향을 미치다
cause,원인이 되다
result,결과가 되다
prevent,예방하다
reduce,줄이다
government,정부
economy,경제
society,사회
population,인구
pollution,오염
volunteer,자원봉사자
election,선거
democracy,민주주의
citizen,시민
community,공동체
nation,국가
law,법
rule,규칙
right,권리
duty,의무
tax,세금
trade,무역
industry,산업
agriculture,농업
resource,자원
poverty,가난
wealth,부유함
globalization,세계화
energy,에너지
experiment,실험
gravity,중력
orbit,궤도
material,재료
matter,물질
solid,고체
liquid,액체
gas,기체
temperature,온도
force,힘
magnet,자석
electricity,전기
battery,건전지
circuit,회로
chemical,화학물질
reaction,반응
evolution,진화
ecosystem,생태계
habitat,서식지
species,종(생물)
oxygen,산소
carbon,탄소
atmosphere,대기
curious,호기심 많은
confident,자신감 있는
responsible,책임감 있는
generous,너그러운
efficient,효율적인
comfortable,편안한
necessary,필요한
available,이용 가능한
valuable,귀중한
precious,소중한
ancient,고대의
modern,현대의
traditional,전통적인
official,공식적인
global,전 세계적인
local,지역의
physical,신체적인
mental,정신적인
emotional,감정적인
social,사회적인
political,정치적인
economic,경제적인
cultural,문화적인
natural,자연의
artificial,인공의
digital,디지털의
virtual,가상의
practical,실용적인
logical,논리적인
creative,창의적인
however,그러나
therefore,그러므로
although,비록 ~이지만
instead,대신에
probably,아마도
eventually,결국
actually,실제로
certainly,확실히
especially,특히
generally,일반적으로
usually,보통
finally,마침내
suddenly,갑자기
