opinion,의견
reason,이유
effort,노력
experience,경험
environment,환경
technology,기술
culture,문화
tradition,전통
heritage,유산
independence,독립
freedom,자유
responsibility,책임
honesty,정직함
courage,용기
patience,인내심
confidence,자신감
curiosity,호기심
creativity,창의성
imagination,상상력
memory,기억
knowledge,지식
information,정보
communication,의사소통
cooperation,협동
competition,경쟁
achievement,성취
challenge,도전
opportunity,기회
solution,해결책
situation,상황
achieve,성취하다
discover,발견하다
create,창조하다
improve,향상시키다
compare,비교하다
predict,예측하다
imagine,상상하다
communicate,의사소통하다
participate,참여하다
organize,조직하다
analyze,분석하다
evaluate,평가하다
calculate,계산하다
estimate,추정하다
investigate,조사하다
research,연구하다
observe,관찰하다
record,기록하다
report,보고하다
summarize,요약하다
conclude,결론짓다
argue,주장하다
convince,설득하다
persuade,설득하다
influence,영향을 주다
affect,영향을 미치다
cause,원인이 되다
result,결과가 되다
prevent,예방하다
reduce,줄이다
government,정부
economy,경제
society,사회
population,인구
pollution,오염
volunteer,자원봉사자
election,선거
democracy,민주주의
citizen,시민
community,공동체
nation,국가
law,법
rule,규칙
right,권리
duty,의무
tax,세금
trade,무역
industry,산업
agriculture,농업
resource,자원
poverty,가난
wealth,부유함
globalization,세계화
energy,에너지
experiment,실험
gravity,중력
orbit,궤도
material,재료
matter,물질
solid,고체
