hello,안녕(만났을 때)
hi,안녕
bye,안녕(헤어질 때)
goodbye,잘 가
yes,네
no,아니요
sorry,미안해
please,제발/부탁해
thanks,고마워
ok,좋아/알았어
morning,아침
afternoon,오후
evening,저녁
night,밤
name,이름
one,하나
two,둘
three,셋
four,넷
five,다섯
six,여섯
seven,일곱
eight,여덟
nine,아홉
ten,열
eleven,열하나
twelve,열둘
thirteen,열셋
fourteen,열넷
fifteen,열다섯
sixteen,열여섯
seventeen,열일곱
eighteen,열여덟
nineteen,열아홉
twenty,스물
red,빨간색
blue,파란색
yellow,노란색
green,초록색
orange,주황색
purple,보라색
pink,분홍색
black,검은색
white,흰색
brown,갈색
gray,회색
gold,금색
mom,엄마
dad,아빠
mother,어머니
father,아버지
brother,형/오빠/남동생
sister,누나/언니/여동생
grandmother,할머니
grandfather,할아버지
baby,아기
family,가족
aunt,이모/고모
uncle,삼촌
dog,개
cat,고양이
bird,새
fish,물고기
rabbit,토끼
hamster,햄스터
turtle,거북이
pig,돼지
cow,소
horse,말
sheep,양
chicken,닭
duck,오리
lion,사자
tiger,호랑이
elephant,코끼리
monkey,원숭이
bear,곰
zebra,얼룩말
giraffe,기린
snake,뱀
frog,개구리
mouse,쥐
deer,사슴
fox,여우
owl,부엉이
panda,판다
kangaroo,캥거루
whale,고래
dolphin,돌고래
head,머리
hair,머리카락
eye,눈
ear,귀
nose,코
mouth,입
tooth,이
arm,팔
hand,손
finger,손가락
leg,다리
foot,발
tummy,배
shoulder,어깨
neck,목
pencil,연필
eraser,지우개
ruler,자
book,책
bag,가방
crayon,크레용
scissors,가위
glue,풀
notebook,공책
desk,책상
chair,의자
board,칠판
chalk,분필
paper,종이
box,상자
apple,사과
banana,바나나
peach,복숭아
grape,포도
strawberry,딸기
watermelon,수박
milk,우유
water,물
juice,주스
bread,빵
rice,밥/쌀
egg,달걀
cheese,치즈
candy,사탕
cookie,쿠키
cake,케이크
pizza,피자
hamburger,햄버거
meat,고기
ice cream,아이스크림
chocolate,초콜릿
soup,수프
salad,샐러드
sandwich,샌드위치
jam,잼
ball,공
doll,인형
kite,연
balloon,풍선
robot,로봇
toy car,장난감 자동차
