hello,안녕(만났을 때)
hi,안녕
bye,안녕(헤어질 때)
goodbye,잘 가
yes,네
no,아니요
sorry,미안해
please,제발/부탁해
thanks,고마워
ok,좋아/알았어
morning,아침
afternoon,오후
evening,저녁
night,밤
name,이름
one,하나
two,둘
three,셋
four,넷
five,다섯
six,여섯
seven,일곱
eight,여덟
nine,아홉
ten,열
eleven,열하나
twelve,열둘
thirteen,열셋
fourteen,열넷
fifteen,열다섯
sixteen,열여섯
seventeen,열일곱
eighteen,열여덟
nineteen,열아홉
twenty,스물
red,빨간색
blue,파란색
yellow,노란색
green,초록색
orange,주황색
purple,보라색
pink,분홍색
black,검은색
white,흰색
brown,갈색
gray,회색
gold,금색
mom,엄마
dad,아빠
mother,어머니
father,아버지
brother,형/오빠/남동생
sister,누나/언니/여동생
grandmother,할머니
grandfather,할아버지
baby,아기
family,가족
aunt,이모/고모
uncle,삼촌
dog,개
cat,고양이
bird,새
fish,물고기
rabbit,토끼
hamster,햄스터
turtle,거북이
pig,돼지
cow,소
horse,말
sheep,양
chicken,닭
duck,오리
lion,사자
tiger,호랑이
elephant,코끼리
monkey,원숭이
bear,곰
zebra,얼룩말
giraffe,기린
snake,뱀
frog,개구리
mouse,쥐
deer,사슴
fox,여우
owl,부엉이
panda,판다
kangaroo,캥거루
whale,고래
dolphin,돌고래
head,머리
hair,머리카락
eye,눈
ear,귀
nose,코
mouth,입
tooth,이
arm,팔
hand,손
finger,손가락
leg,다리
foot,발
tummy,배
shoulder,어깨
neck,목
pencil,연필
eraser,지우개
ruler,자
book,책
bag,가방
crayon,크레용
scissors,가위
glue,풀
notebook,공책
desk,책상
chair,의자
board,칠판
chalk,분필
paper,종이
box,상자
apple,사과
banana,바나나
peach,복숭아
grape,포도
strawberry,딸기
watermelon,수박
milk,우유
water,물
juice,주스
bread,빵
rice,밥/쌀
egg,달걀
cheese,치즈
candy,사탕
cookie,쿠키
cake,케이크
pizza,피자
hamburger,햄버거
meat,고기
ice cream,아이스크림
chocolate,초콜릿
soup,수프
salad,샐러드
sandwich,샌드위치
jam,잼
ball,공
doll,인형
kite,연
balloon,풍선
robot,로봇
toy car,장난감 자동차
blocks,블록
puzzle,퍼즐
bike,자전거
computer,컴퓨터
phone,전화기
TV,텔레비전
clock,시계
lamp,램프
bed,침대
big,큰
small,작은
long,긴
short,짧은
tall,키가 큰
fat,뚱뚱한
thin,마른
happy,행복한
sad,슬픈
angry,화난
hot,더운
cold,추운
new,새로운
old,오래된
pretty,예쁜
cute,귀여운
good,좋은
bad,나쁜
fast,빠른
slow,느린
strong,힘센
weak,약한
clean,깨끗한
dirty,더러운
easy,쉬운
go,가다
come,오다
run,달리다
walk,걷다
jump,뛰다
sit,앉다
stand,서다
sleep,자다
eat,먹다
drink,마시다
read,읽다
write,쓰다
sing,노래하다
dance,춤추다
play,놀다
swim,수영하다
fly,날다
look,보다
listen,듣다
talk,말하다
help,돕다
open,열다
close,닫다
wash,씻다
cook,요리하다
draw,그리다
ride,타다
climb,오르다
throw,던지다
catch,잡다
who,누구
what,무엇
where,어디
when,언제
why,왜
how,어떻게
I,나
you,너
he,그
she,그녀
we,우리
they,그들
sun,해
moon,달
star,별
sky,하늘
cloud,구름
rain,비
snow,눈
wind,바람
tree,나무
flower,꽃
grass,잔디
rock,바위
mountain,산
river,강
sea,바다
beach,해변
park,공원
garden,정원
home,집
school,학교
classroom,교실
playground,운동장
zoo,동물원
market,시장
hospital,병원
store,가게
library,도서관
restaurant,식당
today,오늘
tomorrow,내일
yesterday,어제
day,날/하루
week,주
month,달/월
year,해/년
Monday,월요일
Tuesday,화요일
Wednesday,수요일
shirt,셔츠
pants,바지
skirt,치마
dress,원피스
shoes,신발
socks,양말
hat,모자
coat,코트
jacket,재킷
gloves,장갑
scarf,목도리
boots,부츠
up,위로
down,아래로
left,왼쪽
right,오른쪽
in,안에
on,위에
under,아래에
front,앞
back,뒤
next,다음/옆
Thursday,목요일
Friday,금요일
Saturday,토요일
Sunday,일요일
spring,봄
summer,여름
fall,가을
winter,겨울
teacher,선생님
friend,친구
student,학생
cup,컵
plate,접시
spoon,숟가락
