hello,안녕(만났을 때)
hi,안녕
bye,안녕(헤어질 때)
goodbye,잘 가
yes,네
no,아니요
sorry,미안해
please,제발/부탁해
thanks,고마워
ok,좋아/알았어
morning,아침
afternoon,오후
evening,저녁
night,밤
name,이름
one,하나
two,둘
three,셋
four,넷
five,다섯
six,여섯
seven,일곱
eight,여덟
nine,아홉
ten,열
eleven,열하나
twelve,열둘
thirteen,열셋
fourteen,열넷
fifteen,열다섯
sixteen,열여섯
seventeen,열일곱
eighteen,열여덟
nineteen,열아홉
twenty,스물
red,빨간색
blue,파란색
yellow,노란색
green,초록색
orange,주황색
purple,보라색
pink,분홍색
black,검은색
white,흰색
brown,갈색
gray,회색
gold,금색
mom,엄마
dad,아빠
mother,어머니
father,아버지
brother,형/오빠/남동생
sister,누나/언니/여동생
grandmother,할머니
grandfather,할아버지
baby,아기
family,가족
aunt,이모/고모
uncle,삼촌
dog,개
cat,고양이
bird,새
fish,물고기
rabbit,토끼
hamster,햄스터
turtle,거북이
pig,돼지
cow,소
horse,말
sheep,양
chicken,닭
duck,오리
lion,사자
tiger,호랑이
elephant,코끼리
monkey,원숭이
bear,곰
zebra,얼룩말
giraffe,기린
snake,뱀
frog,개구리
mouse,쥐
deer,사슴
fox,여우
owl,부엉이
panda,판다
kangaroo,캥거루
whale,고래
dolphin,돌고래
head,머리
